,Hours,Cycles,DeepSleep,Activity date,Moving Time
0,6.83,12.0,0.56626505,2021-03-29,0.0
1,8.54,14.0,0.5825243,2021-03-28,0.0
2,7.19,15.0,0.627907,2021-03-27,0.0
3,6.26,11.0,0.46052632,2021-03-26,0.0
4,9.27,16.0,0.54545456,2021-03-25,0.0
5,8.82,15.0,0.5420561,2021-03-24,0.0
6,10.53,2.0,0.33743408,2021-03-21,0.0
7,5.04,7.0,0.44262296,2021-03-20,0.0
8,8.62,15.0,0.5,2021-03-19,0.0
9,7.69,16.0,0.58064514,2021-03-18,0.0
10,8.01,13.0,0.4742268,2021-03-17,0.0
11,7.68,11.0,0.5268817,2021-03-15,0.0
12,7.4,2.0,0.27109975,2021-03-14,0.0
13,7.29,10.0,0.4659091,2021-03-13,0.0
14,7.95,16.0,0.6458333,2021-03-12,0.0
15,7.9,15.0,0.65625,2021-03-11,0.0
16,8.33,16.0,0.5148515,2021-03-10,0.0
17,6.78,13.0,0.5609756,2021-03-07,0.0
18,8.69,15.0,0.60952383,2021-03-06,0.0
19,8.74,15.0,0.6415094,2021-03-05,0.0
20,8.41,17.0,0.6372549,2021-03-04,0.0
21,8.31,14.0,0.56,2021-03-03,0.0
22,8.13,13.0,0.5858586,2021-03-02,0.0
23,8.46,12.0,0.5882353,2021-03-01,0.0
24,9.84,13.0,0.71428573,2021-02-28,0.0
25,9.86,20.0,0.57983196,2021-02-16,0.0
26,8.7,12.0,0.6,2021-02-14,0.0
27,9.0,17.0,0.5963303,2021-02-13,0.0
28,7.62,16.0,0.5543478,2021-02-03,0.0
29,8.23,11.0,0.5252525,2021-02-01,0.0
30,8.53,3.0,0.46666667,2021-01-28,0.0
31,7.72,16.0,0.60215056,2021-01-27,0.0
32,8.32,16.0,0.56,2021-01-18,0.0
33,7.49,13.0,0.62637365,2021-01-14,0.0
34,7.57,6.0,0.9931538,2021-01-12,0.0
35,7.24,15.0,0.6136364,2021-01-10,0.0
36,7.71,2.0,0.25,2021-01-03,0.0
37,8.08,10.0,0.4387755,2020-12-20,0.0
38,8.78,13.0,0.5,2020-12-04,0.0
39,9.43,3.0,0.32862905,2020-11-28,0.0
40,7.65,4.0,0.33684212,2020-11-10,0.0
41,7.97,5.0,0.34562212,2020-11-08,0.0
42,7.07,2.0,0.41343668,2020-11-04,0.0
43,8.18,3.0,0.3211679,2021-03-23,3988.0
44,8.6,16.0,0.4903846,2021-03-22,1983.0
45,8.71,17.0,0.6509434,2021-03-09,1923.0
46,8.46,15.0,0.54901963,2021-03-08,1974.0
47,7.89,11.0,0.51578945,2021-02-26,3216.0
48,6.99,10.0,0.5714286,2021-02-25,1740.0
49,9.2,11.0,0.5495495,2021-02-24,1839.0
50,8.06,8.0,0.48979592,2021-02-23,1712.0
51,7.53,12.0,0.48351648,2021-02-21,1772.0
52,8.65,15.0,0.5904762,2021-02-20,3612.0
53,8.3,11.0,0.5,2021-02-19,2175.0
54,9.41,17.0,0.5,2021-02-18,11032.0
55,7.89,14.0,0.5263158,2021-02-17,1881.0
56,6.72,12.0,0.50617284,2021-02-15,3392.0
57,9.02,17.0,0.5045872,2021-02-12,1854.0
58,9.43,17.0,0.5877193,2021-02-11,1447.0
59,8.25,15.0,0.51,2021-02-10,8020.0
60,8.51,16.0,0.67685074,2021-02-09,1835.0
61,9.21,12.0,0.5585586,2021-02-08,3814.0
62,8.86,16.0,0.5420561,2021-02-07,1710.0
63,9.06,17.0,0.57272726,2021-02-06,1342.0
64,9.09,17.0,0.59090906,2021-02-05,1817.0
65,9.61,16.0,0.5948276,2021-02-04,9221.0
66,8.23,9.0,0.5555556,2021-02-02,15161.0
67,8.21,15.0,0.5555556,2021-01-31,5765.0
68,8.17,14.0,0.7070707,2021-01-30,3003.0
69,6.58,11.0,0.5125,2021-01-29,1835.0
70,9.49,18.0,0.6173913,2021-01-26,1830.0
71,8.34,10.0,0.62949634,2021-01-25,1756.0
72,7.76,11.0,0.4680851,2021-01-24,3199.0
73,8.14,14.0,0.5510204,2021-01-23,3210.0
74,8.5,13.0,0.47524753,2021-01-22,1817.0
75,8.3,15.0,0.61,2021-01-21,1768.0
76,8.74,12.0,0.5943396,2021-01-20,1726.0
77,7.57,9.0,0.45652175,2021-01-19,1590.0
78,7.78,13.0,0.5212766,2021-01-17,1647.0
79,8.69,15.0,0.47619048,2021-01-16,3058.0
80,7.47,13.0,0.6111111,2021-01-15,1807.0
81,8.18,10.0,0.42424244,2021-01-13,1719.0
82,8.37,16.0,0.6039604,2021-01-11,2032.0
83,9.47,16.0,0.5263158,2021-01-09,3586.0
84,9.12,10.0,0.46363637,2021-01-08,1258.0
85,8.66,14.0,0.5619048,2021-01-07,1945.0
86,7.8,11.0,0.5319149,2021-01-06,1639.0
87,7.82,12.0,0.58947366,2021-01-05,1922.0
88,7.89,12.0,0.51578945,2021-01-04,1960.0
89,10.16,15.0,0.54471546,2021-01-02,9433.0
90,7.73,15.0,0.59574467,2021-01-01,2279.0
91,7.93,15.0,0.45833334,2020-12-31,2472.0
92,10.06,15.0,0.56557375,2020-12-30,2775.0
93,8.97,17.0,0.5740741,2020-12-29,3417.0
94,9.23,16.0,0.53571427,2020-12-28,2076.0
95,8.65,15.0,0.552381,2020-12-27,1991.0
96,8.2,13.0,0.56565654,2020-12-26,668.0
97,8.14,11.0,0.54545456,2020-12-25,693.0
98,6.4,8.0,0.47435898,2020-12-24,5230.0
99,7.94,13.0,0.5416667,2020-12-23,3880.0
100,9.27,16.0,0.5089286,2020-12-22,2881.0
101,8.17,16.0,0.53535354,2020-12-21,1726.0
102,8.62,15.0,0.59615386,2020-12-18,3891.0
103,9.04,16.0,0.49541286,2020-12-17,1263.0
104,8.0,12.0,0.5463917,2020-12-16,2022.0
105,8.43,16.0,0.5980392,2020-12-15,1984.0
106,7.93,14.0,0.5833333,2020-12-14,2062.0
107,9.5,19.0,0.5478261,2020-12-13,10552.0
108,7.09,8.0,0.5232558,2020-12-12,1691.0
109,8.78,19.0,0.5566038,2020-12-11,2607.0
110,7.85,16.0,0.5368421,2020-12-10,2972.0
111,8.05,14.0,0.6185567,2020-12-09,1892.0
112,8.11,10.0,0.47959185,2020-12-08,1864.0
113,8.31,14.0,0.63,2020-12-07,2070.0
114,7.91,14.0,0.5368421,2020-12-06,2023.0
115,9.22,18.0,0.5135135,2020-12-05,4462.0
116,8.32,13.0,0.62,2020-12-03,1997.0
117,8.16,13.0,0.5151515,2020-12-02,3251.0
118,8.33,15.0,0.46534654,2020-12-01,2939.0
119,5.0,2.0,0.37545127,2020-11-30,3025.0
