,Activity date,Calories,Hours,Cycles,DeepSleep
0,2020-11-30,422.0,5.0,2.0,0.37545127
1,2020-12-01,592.0,8.33,15.0,0.46534654
2,2020-12-02,512.0,8.16,13.0,0.5151515
3,2020-12-03,319.0,8.32,13.0,0.62
4,2020-12-05,562.0,9.22,18.0,0.5135135
5,2020-12-06,396.0,7.91,14.0,0.5368421
6,2020-12-07,428.0,8.31,14.0,0.63
7,2020-12-08,404.0,8.11,10.0,0.47959185
8,2020-12-09,420.0,8.05,14.0,0.6185567
9,2020-12-10,540.0,7.85,16.0,0.5368421
10,2020-12-11,416.0,8.78,19.0,0.5566038
11,2020-12-12,342.0,7.09,8.0,0.5232558
12,2020-12-13,1401.0,9.5,19.0,0.5478261
13,2020-12-14,426.0,7.93,14.0,0.5833333
14,2020-12-15,392.0,8.43,16.0,0.5980392
15,2020-12-16,394.0,8.0,12.0,0.5463917
16,2020-12-17,185.0,9.04,16.0,0.49541286
17,2020-12-18,777.0,8.62,15.0,0.59615386
18,2020-12-21,345.0,8.17,16.0,0.53535354
19,2020-12-22,505.0,9.27,16.0,0.5089286
20,2020-12-23,715.0,7.94,13.0,0.5416667
21,2020-12-24,456.0,6.4,8.0,0.47435898
22,2020-12-25,96.0,8.14,11.0,0.54545456
23,2020-12-26,76.0,8.2,13.0,0.56565654
24,2020-12-27,493.9249267578125,8.65,15.0,0.552381
25,2020-12-28,368.0,9.23,16.0,0.53571427
26,2020-12-29,351.0,8.97,17.0,0.5740741
27,2020-12-30,548.0,10.06,15.0,0.56557375
28,2020-12-31,456.0,7.93,15.0,0.45833334
29,2021-01-01,422.0,7.73,15.0,0.59574467
30,2021-01-02,1323.0,10.16,15.0,0.54471546
31,2021-01-04,344.0,7.89,12.0,0.51578945
32,2021-01-05,390.0,7.82,12.0,0.58947366
33,2021-01-06,315.0,7.8,11.0,0.5319149
34,2021-01-07,354.0,8.66,14.0,0.5619048
35,2021-01-08,436.0,9.12,10.0,0.46363637
36,2021-01-09,963.7940673828124,9.47,16.0,0.5263158
37,2021-01-11,242.0,8.37,16.0,0.6039604
38,2021-01-13,300.0,8.18,10.0,0.42424244
39,2021-01-15,204.0,7.47,13.0,0.6111111
40,2021-01-16,336.0,8.69,15.0,0.47619048
41,2021-01-17,346.0,7.78,13.0,0.5212766
42,2021-01-19,298.0,7.57,9.0,0.45652175
43,2021-01-20,223.0,8.74,12.0,0.5943396
44,2021-01-21,329.0,8.3,15.0,0.61
45,2021-01-22,331.0,8.5,13.0,0.47524753
46,2021-01-23,423.0,8.14,14.0,0.5510204
47,2021-01-24,481.0,7.76,11.0,0.4680851
48,2021-01-25,323.0,8.34,10.0,0.62949634
49,2021-01-26,320.0,9.49,18.0,0.6173913
50,2021-01-29,342.0,6.58,11.0,0.5125
51,2021-01-30,363.0,8.17,14.0,0.7070707
52,2021-01-31,754.0,8.21,15.0,0.5555556
53,2021-02-02,1926.0,8.23,9.0,0.5555556
54,2021-02-04,1213.0,9.61,16.0,0.5948276
55,2021-02-05,333.0,9.09,17.0,0.59090906
56,2021-02-06,136.0,9.06,17.0,0.57272726
57,2021-02-07,313.0,8.86,16.0,0.5420561
58,2021-02-08,799.0,9.21,12.0,0.5585586
59,2021-02-09,353.0,8.51,16.0,0.67685074
60,2021-02-10,929.0,8.25,15.0,0.51
61,2021-02-11,307.0,9.43,17.0,0.5877193
62,2021-02-12,316.0,9.02,17.0,0.5045872
63,2021-02-15,550.0,6.72,12.0,0.50617284
64,2021-02-17,345.0,7.89,14.0,0.5263158
65,2021-02-18,1664.0,9.41,17.0,0.5
66,2021-02-19,498.0,8.3,11.0,0.5
67,2021-02-20,566.0,8.65,15.0,0.5904762
68,2021-02-21,323.0,7.53,12.0,0.48351648
69,2021-02-23,390.0,8.06,8.0,0.48979592
70,2021-02-24,326.0,9.2,11.0,0.5495495
71,2021-02-25,302.0,6.99,10.0,0.5714286
72,2021-02-26,492.0,7.89,11.0,0.51578945
73,2021-03-08,494.57073974609375,8.46,15.0,0.54901963
74,2021-03-09,360.0,8.71,17.0,0.6509434
75,2021-03-22,353.0,8.6,16.0,0.4903846
76,2021-03-23,818.0,8.18,3.0,0.3211679
