,Hours,Cycles,DeepSleep,Activity date,activity
0,6.83,12.0,0.56626505,2021-03-29,0.0
1,8.54,14.0,0.5825243,2021-03-28,0.0
2,7.19,15.0,0.627907,2021-03-27,0.0
3,6.26,11.0,0.46052632,2021-03-26,0.0
4,9.27,16.0,0.54545456,2021-03-25,0.0
5,8.82,15.0,0.5420561,2021-03-24,0.0
6,10.53,2.0,0.33743408,2021-03-21,0.0
7,5.04,7.0,0.44262296,2021-03-20,0.0
8,8.62,15.0,0.5,2021-03-19,0.0
9,7.69,16.0,0.58064514,2021-03-18,0.0
10,8.01,13.0,0.4742268,2021-03-17,0.0
11,7.68,11.0,0.5268817,2021-03-15,0.0
12,7.4,2.0,0.27109975,2021-03-14,0.0
13,7.29,10.0,0.4659091,2021-03-13,0.0
14,7.95,16.0,0.6458333,2021-03-12,0.0
15,7.9,15.0,0.65625,2021-03-11,0.0
16,8.33,16.0,0.5148515,2021-03-10,0.0
17,6.78,13.0,0.5609756,2021-03-07,0.0
18,8.69,15.0,0.60952383,2021-03-06,0.0
19,8.74,15.0,0.6415094,2021-03-05,0.0
20,8.41,17.0,0.6372549,2021-03-04,0.0
21,8.31,14.0,0.56,2021-03-03,0.0
22,8.13,13.0,0.5858586,2021-03-02,0.0
23,8.46,12.0,0.5882353,2021-03-01,0.0
24,9.84,13.0,0.71428573,2021-02-28,0.0
25,9.86,20.0,0.57983196,2021-02-16,0.0
26,8.7,12.0,0.6,2021-02-14,0.0
27,9.0,17.0,0.5963303,2021-02-13,0.0
28,7.62,16.0,0.5543478,2021-02-03,0.0
29,8.23,11.0,0.5252525,2021-02-01,0.0
30,8.53,3.0,0.46666667,2021-01-28,0.0
31,7.72,16.0,0.60215056,2021-01-27,0.0
32,8.32,16.0,0.56,2021-01-18,0.0
33,7.49,13.0,0.62637365,2021-01-14,0.0
34,7.57,6.0,0.9931538,2021-01-12,0.0
35,7.24,15.0,0.6136364,2021-01-10,0.0
36,7.71,2.0,0.25,2021-01-03,0.0
37,8.08,10.0,0.4387755,2020-12-20,0.0
38,8.78,13.0,0.5,2020-12-04,0.0
39,9.43,3.0,0.32862905,2020-11-28,0.0
40,7.65,4.0,0.33684212,2020-11-10,0.0
41,7.97,5.0,0.34562212,2020-11-08,0.0
42,7.07,2.0,0.41343668,2020-11-04,0.0
43,8.18,3.0,0.3211679,2021-03-23,1.0
44,8.2,13.0,0.56565654,2020-12-26,1.0
45,8.86,16.0,0.5420561,2021-02-07,1.0
46,6.58,11.0,0.5125,2021-01-29,1.0
47,8.16,13.0,0.5151515,2020-12-02,1.0
48,7.89,11.0,0.51578945,2021-02-26,1.0
49,8.05,14.0,0.6185567,2020-12-09,1.0
50,7.78,13.0,0.5212766,2021-01-17,1.0
51,8.74,12.0,0.5943396,2021-01-20,1.0
52,8.66,14.0,0.5619048,2021-01-07,1.0
53,9.23,16.0,0.53571427,2020-12-28,1.0
54,9.61,16.0,0.5948276,2021-02-04,1.0
55,8.17,14.0,0.7070707,2021-01-30,1.0
56,7.93,14.0,0.5833333,2020-12-14,1.0
57,8.23,9.0,0.5555556,2021-02-02,1.0
58,7.93,15.0,0.45833334,2020-12-31,1.0
59,8.6,16.0,0.4903846,2021-03-22,1.0
60,7.47,13.0,0.6111111,2021-01-15,1.0
61,7.73,15.0,0.59574467,2021-01-01,1.0
62,7.94,13.0,0.5416667,2020-12-23,1.0
63,8.5,13.0,0.47524753,2021-01-22,1.0
64,7.85,16.0,0.5368421,2020-12-10,1.0
65,8.17,16.0,0.53535354,2020-12-21,1.0
66,8.69,15.0,0.47619048,2021-01-16,1.0
67,9.09,17.0,0.59090906,2021-02-05,1.0
68,7.09,8.0,0.5232558,2020-12-12,1.0
69,8.06,8.0,0.48979592,2021-02-23,1.0
70,8.97,17.0,0.5740741,2020-12-29,1.0
71,9.5,19.0,0.5478261,2020-12-13,1.0
72,9.49,18.0,0.6173913,2021-01-26,1.0
73,8.37,16.0,0.6039604,2021-01-11,1.0
74,8.0,12.0,0.5463917,2020-12-16,1.0
75,8.11,10.0,0.47959185,2020-12-08,1.0
76,8.34,10.0,0.62949634,2021-01-25,1.0
77,9.12,10.0,0.46363637,2021-01-08,1.0
78,8.14,11.0,0.54545456,2020-12-25,1.0
79,8.51,16.0,0.67685074,2021-02-09,1.0
80,7.76,11.0,0.4680851,2021-01-24,1.0
81,7.89,12.0,0.51578945,2021-01-04,1.0
82,6.99,10.0,0.5714286,2021-02-25,1.0
83,8.31,14.0,0.63,2020-12-07,1.0
84,9.2,11.0,0.5495495,2021-02-24,1.0
85,8.3,11.0,0.5,2021-02-19,1.0
