com.samsung.health.food_info,6156001,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Tue Dec 22 00:00:00 GMT+01:00 2020,0,40.02,721.5,70.8,2020-12-24 21:01:54.479,2020-12-24 21:01:54.479,0.0,28.4,0.0,0.0,MyFitnessPal Snacks,42.0,,0.0,872.55,,,vC702BfhH0,,17.6,0.0,com.myfitnesspal.android,112.0,,28a66a61-f4c3-4986-bc70-e8aa22492987,,
0.0,0.0,0.0,,0.0,MyFitnessPal Breakfast,,100001-Thu Jan 07 00:00:00 GMT+01:00 2021,0,7.4300003,3.8,25.8,2021-01-09 13:38:10.175,2021-01-09 13:38:10.175,0.0,11.9,0.0,0.0,MyFitnessPal Breakfast,92.9,,0.0,292.55,,,vC702BfhH0,,5.4,0.0,com.myfitnesspal.android,112.3,,fee50d96-1d16-424d-92b6-2d19375c40a0,,
346.04,257.48,209.428,,0.0,MyFitnessPal Dinner,,100003-Tue Dec 29 00:00:00 GMT+01:00 2020,0,6.66,3.4439998,45.592,2020-12-31 14:49:18.734,2020-12-31 14:49:18.734,0.00492,51.523598,0.1148,0.7052,MyFitnessPal Dinner,6.8879995,,11.48,387.59,,,vC702BfhH0,,22.14428,0.0,com.myfitnesspal.android,24.8892,,6580a967-1fce-4626-8286-9b74806c4ecc,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Tue Dec 29 00:00:00 GMT+01:00 2020,0,40.02,2.0,19.2,2020-12-31 14:49:18.693,2020-12-31 14:49:18.693,0.0,14.8,0.0,0.0,MyFitnessPal Snacks,24.0,,0.0,791.0,,,vC702BfhH0,,5.7,0.0,com.myfitnesspal.android,90.9,,d8290b89-5c44-49cd-8823-c597f73e22c0,,
67.0,6.0,0.0,,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2021-02-28 13:46:13.421,2021-02-28 13:46:13.421,2.754,6.24,1.214,5.0,Fried Egg,0.38,,3.0,89.0,large,,OD8XXfRrR9,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,452292f8-89e5-4d40-a5d4-b5224a905108,1,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2021-02-28 13:46:13.424,2021-02-28 13:46:13.424,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,OD8XXfRrR9,g,3.067,,com.sec.android.app.shealth,11.42,2.0,addea92f-69a5-4d81-b933-76cfc861eed3,1,
728.97,10.55,15.028,,0.0,MyFitnessPal Breakfast,,100001-Mon Jan 04 00:00:00 GMT+01:00 2021,0,1512.72,14.855,94.9911,2021-01-06 20:38:05.668,2021-01-06 20:38:05.668,14.698549,66.5065,2.72432,0.82780004,MyFitnessPal Breakfast,10.5067,,18.16,611.65,,,vC702BfhH0,,14.58937,0.0,com.myfitnesspal.android,83.8313,,49d6ec36-0fab-4e9e-b57d-c6c18575634b,,
301.0,0.0,2.0,,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2021-02-28 13:46:13.422,2021-02-28 13:46:13.422,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,,1.0,130.0,"breast, bone and skin removed",,OD8XXfRrR9,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,511f5a19-58a4-46cf-a6b1-0658c7d96626,1,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Fri Jan 08 00:00:00 GMT+01:00 2021,0,0.22,2.1,11.0,2021-01-10 19:41:27.498,2021-01-10 19:41:27.498,0.0,3.5,0.0,0.0,MyFitnessPal Snacks,24.0,,0.0,504.0,,,vC702BfhH0,,4.0,0.0,com.myfitnesspal.android,32.0,,8c03621f-f2f0-402b-a8c9-817c5f29ae63,,
0.0,0.0,52.0,,0.0,MyFitnessPal Breakfast,,100001-Sun Dec 27 00:00:00 GMT+01:00 2020,0,0.14,2.3,20.34,2020-12-29 20:28:39.225,2020-12-29 20:28:39.225,0.0,12.25,0.0,9.0,MyFitnessPal Breakfast,16.58,,1.0,496.0,,,vC702BfhH0,,8.11,0.0,com.myfitnesspal.android,62.879997,,0f7b0f51-4e62-4522-bca2-03d83eef01b0,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Thu Dec 31 00:00:00 GMT+01:00 2020,0,40.02,2.0,19.0,2021-01-02 22:20:25.147,2021-01-02 22:20:25.147,0.0,12.1,0.0,0.0,MyFitnessPal Snacks,19.0,,0.0,783.0,,,vC702BfhH0,,5.0,0.0,com.myfitnesspal.android,97.0,,8820ee91-44a7-499a-90e5-f3f8105a5956,,
346.04,257.48,209.428,,0.0,MyFitnessPal Breakfast,,100001-Sat Jan 02 00:00:00 GMT+01:00 2021,0,6.56,3.4439998,16.492,2021-01-04 09:00:02.031,2021-01-04 09:00:02.031,0.00492,13.6236,0.1148,0.7052,MyFitnessPal Breakfast,6.8879995,,11.48,350.84,,,vC702BfhH0,,0.04428,0.0,com.myfitnesspal.android,35.8892,,458d1e99-f9de-4fca-8064-1e643ce1e695,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Sun Jan 10 00:00:00 GMT+01:00 2021,0,0.2,715.6,12.0,2021-01-12 07:40:55.110,2021-01-12 07:40:55.110,0.0,2.0,0.0,0.0,MyFitnessPal Snacks,21.0,,0.0,479.0,,,vC702BfhH0,,6.0,0.0,com.myfitnesspal.android,31.0,,9e1388a3-af84-4a21-b55e-f0003532eb73,,
503.19,85.450005,8.445637,,164.12091,MyFitnessPal Dinner,,100003-Sat Jan 02 00:00:00 GMT+01:00 2021,0,6831.6904,11.905001,70.433136,2021-01-04 09:00:02.108,2021-01-04 09:00:02.108,1.6333885,65.576904,1.03716,1.648074,MyFitnessPal Dinner,10.6983185,,72.817635,814.8725,,,vC702BfhH0,,24.491219,0.016719999,com.myfitnesspal.android,127.65192,,c90d8549-31a5-4962-89bd-d25d28b7b36a,,
0.0,0.0,0.0,,0.0,MyFitnessPal Breakfast,,100001-Fri Jan 01 00:00:00 GMT+01:00 2021,0,0.0,0.0,16.0,2021-01-03 17:01:29.349,2021-01-03 17:01:29.349,0.0,12.0,0.0,0.0,MyFitnessPal Breakfast,0.0,,0.0,600.0,,,vC702BfhH0,,0.0,0.0,com.myfitnesspal.android,26.0,,4ec364d0-559f-4053-8dba-850ead2b95aa,,
422.43997,3.54,10.266,,0.0,MyFitnessPal Breakfast,,100001-Tue Dec 22 00:00:00 GMT+01:00 2020,0,1.18,3.0679998,0.3894,2020-12-24 21:01:54.307,2020-12-24 21:01:54.307,0.03776,1.2861999,0.08613999,0.30679998,MyFitnessPal Breakfast,14.431398,,5.8999996,105.02,,,vC702BfhH0,,0.13216,0.0,com.myfitnesspal.android,26.951199,,c22a1f89-52de-49a7-a2ad-6a2dc68dc398,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Tue Dec 22 00:00:00 GMT+01:00 2020,0,0.0,4.5,21.0,2020-12-24 21:01:54.420,2020-12-24 21:01:54.420,0.0,21.0,0.0,0.0,MyFitnessPal Lunch,8.0,,0.0,414.0,,,vC702BfhH0,,14.0,0.0,com.myfitnesspal.android,33.0,,ae2dc1f8-8fe2-489d-96f6-928e360dce93,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Sat Jan 09 00:00:00 GMT+01:00 2021,0,0.0,715.0,7.0,2021-01-10 19:41:27.705,2021-01-10 19:41:27.705,0.0,0.0,0.0,0.0,MyFitnessPal Dinner,11.0,,0.0,500.0,,,vC702BfhH0,,5.0,0.0,com.myfitnesspal.android,14.0,,44d98283-a36f-444b-83f6-91ddfbab9d6e,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Sun Jan 03 00:00:00 GMT+01:00 2021,0,241.62999,5.8,87.0,2021-01-05 21:13:14.271,2021-01-05 21:13:14.271,0.0,35.3,0.0,0.0,MyFitnessPal Snacks,97.5,,0.0,628.2,,,vC702BfhH0,,15.9,0.0,com.myfitnesspal.android,160.3,,e8cc7a54-9923-47fd-ae1d-e947dc8465bf,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Tue Dec 22 00:00:00 GMT+01:00 2020,0,1.4,2.3,19.0,2020-12-24 21:01:54.539,2020-12-24 21:01:54.539,0.0,25.9,0.0,0.0,MyFitnessPal Dinner,2.9,,0.0,881.5,,,vC702BfhH0,,10.4,0.0,com.myfitnesspal.android,49.0,,9a781586-c5a4-4953-bf0a-05c3d0cae3be,,
455.04,340.48,213.428,,186.0,MyFitnessPal Dinner,,100003-Sun Jan 03 00:00:00 GMT+01:00 2021,0,78.56,3.6439998,87.297,2021-01-05 21:13:14.319,2021-01-05 21:13:14.319,1.84292,8.5536,1.0933,1.5802,MyFitnessPal Dinner,8.573,,39.48,300.72,,,vC702BfhH0,,50.80728,0.019,com.myfitnesspal.android,11.4192,,ff0f720f-af56-4fcd-b53e-4489a18d9142,,
0.0,0.0,17.637,,617.295,MyFitnessPal Dinner,,100003-Thu Jan 07 00:00:00 GMT+01:00 2021,0,668.38745,2.3,158.93298,2021-01-09 13:38:10.302,2021-01-09 13:38:10.302,0.0,168.7515,0.0,70.548,MyFitnessPal Dinner,0.0,,0.0,584.11,,,vC702BfhH0,,61.729496,0.0,com.myfitnesspal.android,3.8,,e37d6f1f-010a-4559-94cb-e2baa76b3a1c,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Sat Jan 09 00:00:00 GMT+01:00 2021,0,0.2,0.6,5.0,2021-01-10 19:41:27.669,2021-01-10 19:41:27.669,0.0,2.0,0.0,0.0,MyFitnessPal Snacks,10.0,,0.0,254.0,,,vC702BfhH0,,1.0,0.0,com.myfitnesspal.android,17.0,,da840f82-659a-48b6-9d0d-4eef869fef90,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Tue Dec 29 00:00:00 GMT+01:00 2020,0,0.0,0.0,7.0,2020-12-31 14:49:18.647,2020-12-31 14:49:18.647,0.0,8.0,0.0,0.0,MyFitnessPal Lunch,0.0,,0.0,220.5,,,vC702BfhH0,,0.0,0.0,com.myfitnesspal.android,54.0,,6015b533-e971-463f-8145-121b93a4afff,,
86.0,0.0,0.0,,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2021-02-28 13:46:13.422,2021-02-28 13:46:13.422,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,,0.0,50.0,coffee cup (6 fl oz),,OD8XXfRrR9,g,1.295,,com.sec.android.app.shealth,9.14,3.7,56985081-ee41-4f31-86ab-0c5301a5ff16,1,
583.43994,35.54,22.265999,,0.0,MyFitnessPal Snacks,,100005-Sat Jan 02 00:00:00 GMT+01:00 2021,0,42.2,8.667999,12.589399,2021-01-04 09:00:02.066,2021-01-04 09:00:02.066,0.03776,5.3862,0.08613999,1.3068,MyFitnessPal Snacks,46.431396,,5.8999996,667.02,,,vC702BfhH0,,5.13216,0.0,com.myfitnesspal.android,76.9512,,171cf77a-29af-499d-ba86-1c87e188bcf2,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Tue Jan 05 00:00:00 GMT+01:00 2021,0,2050.0,4.0,11.0,2021-01-07 18:28:29.095,2021-01-07 18:28:29.095,0.0,29.3,0.0,0.0,MyFitnessPal Dinner,10.5,,0.0,437.805,,,vC702BfhH0,,3.8,0.0,com.myfitnesspal.android,69.4,,1f404633-9996-4dad-9e7a-691386c35f18,,
1221.54,276.98,228.428,,185.0,MyFitnessPal Breakfast,,100001-Tue Jan 05 00:00:00 GMT+01:00 2021,0,198.06,13.693999,109.532,2021-01-07 18:28:28.971,2021-01-07 18:28:28.971,14.7124195,18.2736,2.8618,5.5302,MyFitnessPal Breakfast,9.377999,,31.48,341.62,,,vC702BfhH0,,54.43328,0.0,com.myfitnesspal.android,23.8542,,64802d56-c0c0-4dff-bbb2-a5f40d5e05b3,,
728.97,10.55,15.028,,0.0,MyFitnessPal Breakfast,,100001-Thu Dec 31 00:00:00 GMT+01:00 2020,0,1512.72,14.855,94.9911,2021-01-02 22:20:25.120,2021-01-02 22:20:25.120,14.698549,66.5065,2.72432,0.82780004,MyFitnessPal Breakfast,10.5067,,18.16,611.65,,,vC702BfhH0,,14.58937,0.0,com.myfitnesspal.android,83.8313,,81aa1a38-2118-47b2-8371-080334e370ee,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Tue Jan 05 00:00:00 GMT+01:00 2021,0,0.03,3.8,23.0,2021-01-07 18:28:29.048,2021-01-07 18:28:29.048,0.0,6.9,0.0,0.0,MyFitnessPal Snacks,14.0,,0.0,377.03003,,,vC702BfhH0,,4.9,0.0,com.myfitnesspal.android,18.3,,ff1fdcff-bc7f-43bb-b2b7-ab38067e2aee,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Wed Dec 23 00:00:00 GMT+01:00 2020,0,800.0,1.5,19.5,2020-12-24 21:01:54.707,2020-12-24 21:01:54.707,0.0,33.6,0.0,0.0,MyFitnessPal Lunch,1.1,,0.0,958.4,,,vC702BfhH0,,4.6,0.0,com.myfitnesspal.android,44.0,,3bbfbafe-de44-4784-8ca3-0e73a8168535,,
194.74,5.46,8.372,,0.0,MyFitnessPal Snacks,,100005-Wed Jan 06 00:00:00 GMT+01:00 2021,0,1.84,5.8680005,6.3094,2021-01-08 17:52:36.519,2021-01-08 17:52:36.519,0.012740001,1.9732,0.09282,0.2184,MyFitnessPal Snacks,32.9098,,10.92,170.32,,,vC702BfhH0,,3.05096,0.0,com.myfitnesspal.android,40.1342,,135a83ec-f61f-4832-9509-1663744bc595,,
0.0,0.0,0.0,,58.0,MyFitnessPal Dinner,,100003-Wed Dec 30 00:00:00 GMT+01:00 2020,0,800.0,2.0,20.0,2021-01-01 21:11:28.438,2021-01-01 21:11:28.438,8.0,14.0,0.0,0.0,MyFitnessPal Dinner,4.0,,0.0,720.0,,,vC702BfhH0,,9.0,0.0,com.myfitnesspal.android,28.0,,8fcd4a89-0455-4d3f-bf98-6204191b2e65,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Thu Jan 07 00:00:00 GMT+01:00 2021,0,100.02,2.0,7.8,2021-01-09 13:38:10.253,2021-01-09 13:38:10.253,0.0,2.0,0.0,0.0,MyFitnessPal Snacks,18.1,,0.0,209.0,,,vC702BfhH0,,3.2,0.0,com.myfitnesspal.android,25.0,,4f1b8d7e-df0e-4594-9e37-302aa36c9a89,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Mon Dec 28 00:00:00 GMT+01:00 2020,0,1.4,2.6,19.2,2020-12-30 21:09:41.223,2020-12-30 21:09:41.223,0.0,26.2,0.0,0.0,MyFitnessPal Lunch,2.7,,0.0,767.0,,,vC702BfhH0,,10.4,0.0,com.myfitnesspal.android,49.0,,e2e0d5c8-6aa2-4879-8510-87779f7164d7,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Wed Dec 30 00:00:00 GMT+01:00 2020,0,0.02,2.5,6.4,2021-01-01 21:11:28.405,2021-01-01 21:11:28.405,0.0,2.43,0.0,0.0,MyFitnessPal Snacks,30.0,,0.0,308.0,,,vC702BfhH0,,3.01,0.0,com.myfitnesspal.android,32.0,,4497ca87-2bdb-4c92-9679-5455206b1031,,
0.0,0.0,0.0,,0.0,MyFitnessPal Breakfast,,100001-Wed Dec 30 00:00:00 GMT+01:00 2020,0,0.0,0.0,7.0,2021-01-01 21:11:28.322,2021-01-01 21:11:28.322,0.0,8.0,0.0,0.0,MyFitnessPal Breakfast,0.0,,0.0,630.0,,,vC702BfhH0,,0.0,0.0,com.myfitnesspal.android,54.0,,956478cf-91b3-4d07-9d96-41117728f5a8,,
422.43997,3.54,10.266,,0.0,MyFitnessPal Breakfast,,100001-Wed Dec 23 00:00:00 GMT+01:00 2020,0,1.18,3.8679998,13.2894,2020-12-24 21:01:54.660,2020-12-24 21:01:54.660,0.03776,5.7862,0.08613999,0.30679998,MyFitnessPal Breakfast,43.431396,,5.8999996,360.02,,,vC702BfhH0,,7.63216,0.0,com.myfitnesspal.android,56.9512,,560d0531-a382-4fab-b21a-d7e05507e6c3,,
0.0,0.0,0.0,,0.0,MyFitnessPal Breakfast,,100001-Tue Dec 29 00:00:00 GMT+01:00 2020,0,0.0,10.200001,58.9,2020-12-31 14:49:18.605,2020-12-31 14:49:18.605,0.0,44.2,0.0,0.0,MyFitnessPal Breakfast,11.1,,0.0,689.48,,,vC702BfhH0,,13.299999,0.0,com.myfitnesspal.android,68.6,,a4ca8d66-f68b-4d0f-b679-567eb2065972,,
422.43997,3.54,10.266,,0.0,MyFitnessPal Breakfast,,100001-Mon Dec 28 00:00:00 GMT+01:00 2020,0,101.18,3.0679998,7.3893995,2020-12-30 21:09:41.175,2020-12-30 21:09:41.175,0.03776,9.3862,0.08613999,0.30679998,MyFitnessPal Breakfast,23.331398,,5.8999996,369.02,,,vC702BfhH0,,2.83216,0.0,com.myfitnesspal.android,50.9512,,f8e279db-0ddd-4c0e-a91e-c4c9ca0d53ab,,
0.0,0.0,0.0,,0.0,MyFitnessPal Breakfast,,100001-Tue Jan 12 00:00:00 GMT+01:00 2021,0,0.0,0.0,0.75,2021-01-12 08:01:11.447,2021-01-12 08:01:11.447,0.0,15.0,0.0,0.0,MyFitnessPal Breakfast,5.7,,0.0,90.0,,,vC702BfhH0,,0.0,0.0,com.myfitnesspal.android,5.8500004,,fde14662-6e06-4348-b1f6-e44eee5d857c,,
728.97,10.55,15.028,,0.0,MyFitnessPal Lunch,,100002-Wed Dec 30 00:00:00 GMT+01:00 2020,0,1512.72,14.855,94.9911,2021-01-01 21:11:28.370,2021-01-01 21:11:28.370,14.698549,66.5065,2.72432,0.82780004,MyFitnessPal Lunch,10.5067,,18.16,611.65,,,vC702BfhH0,,14.58937,0.0,com.myfitnesspal.android,83.8313,,ae084f8b-a28b-496b-b377-a866fc9d90a2,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Fri Jan 01 00:00:00 GMT+01:00 2021,0,40.0,4.5,21.0,2021-01-03 17:01:29.380,2021-01-03 17:01:29.380,0.0,13.6,0.0,0.0,MyFitnessPal Snacks,6.5,,0.0,790.0,,,vC702BfhH0,,3.0,0.0,com.myfitnesspal.android,30.0,,697b1b9a-f789-463b-a00c-1d81179820db,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Mon Jan 04 00:00:00 GMT+01:00 2021,0,0.01,2.3,33.0,2021-01-06 20:38:05.784,2021-01-06 20:38:05.784,0.0,17.4,0.0,0.0,MyFitnessPal Dinner,0.0,,0.0,554.03,,,vC702BfhH0,,1.9,0.0,com.myfitnesspal.android,29.3,,43d58773-cbae-4df0-809d-99136924ad23,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Wed Jan 06 00:00:00 GMT+01:00 2021,0,0.0,0.0,4.0,2021-01-08 17:52:36.481,2021-01-08 17:52:36.481,0.0,1.5,0.0,0.0,MyFitnessPal Lunch,2.0,,0.0,182.5,,,vC702BfhH0,,2.5,0.0,com.myfitnesspal.android,7.0,,3277b5a4-1322-46ad-8d37-93c4b793c5ec,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Fri Jan 08 00:00:00 GMT+01:00 2021,0,2050.0,4.0,15.0,2021-01-10 19:41:27.456,2021-01-10 19:41:27.456,0.0,30.8,0.0,0.0,MyFitnessPal Lunch,12.5,,0.0,595.95,,,vC702BfhH0,,6.3,0.0,com.myfitnesspal.android,76.4,,4f8231e2-d492-4faf-bb94-3ef5e3b2d21b,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Sun Dec 27 00:00:00 GMT+01:00 2020,0,40.02,2.5,67.5,2020-12-29 20:28:39.313,2020-12-29 20:28:39.313,0.0,10.0,0.0,0.0,MyFitnessPal Snacks,83.0,,0.0,823.0,,,vC702BfhH0,,25.0,0.0,com.myfitnesspal.android,99.0,,fc212f2d-85f8-4f47-93a0-ec3056ef0f5d,,
40.0,3.0,4.0,,0.0,MyFitnessPal Breakfast,,100001-Sat Jan 09 00:00:00 GMT+01:00 2021,0,2611.0,7.7,68.25,2021-01-10 19:41:27.600,2021-01-10 19:41:27.600,0.009,54.65,0.023,0.0,MyFitnessPal Breakfast,61.0,,0.0,570.0,,,vC702BfhH0,,22.2,0.0,com.myfitnesspal.android,63.67,,2b0096d5-3398-4c70-9b8d-871e84801210,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Wed Dec 23 00:00:00 GMT+01:00 2020,0,1740.0,3.0,50.4,2020-12-24 21:01:54.819,2020-12-24 21:01:54.819,0.0,57.8,0.0,0.0,MyFitnessPal Dinner,18.0,,0.0,682.89996,,,vC702BfhH0,,24.8,0.0,com.myfitnesspal.android,84.0,,8f1dd56c-7078-45b8-b6dc-efbba8913950,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Mon Dec 28 00:00:00 GMT+01:00 2020,0,0.0,0.8,12.9,2020-12-30 21:09:41.304,2020-12-30 21:09:41.304,0.0,4.5,0.0,0.0,MyFitnessPal Dinner,29.0,,0.0,255.0,,,vC702BfhH0,,7.5,0.0,com.myfitnesspal.android,30.0,,d66a142a-6fcc-45d2-820f-1cabf88b2516,,
