com.samsung.health.food_info,6156001,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2021-02-28 13:46:13.420,2021-02-28 13:46:13.420,0.038,1.29,0.086,2.0,Banana,14.43,,1.0,105.0,medium (7" to 7-7/8" long),,OD8XXfRrR9,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,3c8cc4fc-55de-4baa-8cb3-369e0b9ae335,1,
111.0,0.0,0.0,,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2021-02-28 13:46:13.422,2021-02-28 13:46:13.422,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,OD8XXfRrR9,g,0.005,,com.sec.android.app.shealth,0.09,88.5,e7049867-babd-45c2-9e34-fd40be34501f,1,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Fri Jan 08 00:00:00 GMT+01:00 2021,0,1.415,0.03,18.02,2021-01-10 19:41:27.539,2021-01-10 19:41:27.539,0.0,17.09,0.0,0.0,MyFitnessPal Dinner,0.4,,0.0,770.0,,,vC702BfhH0,,10.005,0.0,com.myfitnesspal.android,2.48,,7b074253-31a4-482c-a2e0-9dbbc5722c4f,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Wed Dec 23 00:00:00 GMT+01:00 2020,0,80.0,716.0,19.0,2020-12-24 21:01:54.751,2020-12-24 21:01:54.751,0.0,4.0,0.0,0.0,MyFitnessPal Snacks,21.0,,0.0,495.0,,,vC702BfhH0,,9.0,0.0,com.myfitnesspal.android,46.0,,3856829b-cf21-4af6-9cda-12472b559c53,,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Mon Jan 04 00:00:00 GMT+01:00 2021,0,241.62,3.5,70.0,2021-01-06 20:38:05.741,2021-01-06 20:38:05.741,0.0,29.9,0.0,0.0,MyFitnessPal Snacks,97.5,,0.0,583.15,,,vC702BfhH0,,14.0,0.0,com.myfitnesspal.android,157.0,,23244f2e-74ee-4949-ad0e-251a8109980e,,
170.0,17.0,20.0,,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2021-02-28 13:46:13.421,2021-02-28 13:46:13.421,0.056,0.93,0.076,2.0,Watermelon,9.42,,1.0,46.0,"cup, diced",,OD8XXfRrR9,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,e1bb20ca-e1f5-4655-82f4-97d58c019be1,1,
0.0,0.0,0.0,,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2021-02-28 13:46:13.423,2021-02-28 13:46:13.423,0.0,0.0,0.0,0.0,Water,0.0,,0.0,0.0,cup (8 fl oz),,OD8XXfRrR9,g,0.0,,com.sec.android.app.shealth,0.0,,0bee7ed5-9db4-4f94-a1fd-3e656b39ff83,1,
0.0,0.0,2.0,,50.0,MyFitnessPal Dinner,,100003-Mon Dec 21 00:00:00 GMT+01:00 2020,0,110.0,1.8,44.0,2020-12-23 22:21:08.339,2020-12-23 22:21:08.339,1.0,28.1,0.0,4.0,MyFitnessPal Dinner,48.0,,2.0,698.0,,,vC702BfhH0,,27.5,0.0,com.myfitnesspal.android,49.0,,7ddd9b1c-1226-4c33-9147-63f35ceb358b,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Thu Dec 31 00:00:00 GMT+01:00 2020,0,0.0,1.0,0.4,2021-01-02 22:20:25.173,2021-01-02 22:20:25.173,0.0,0.93,0.0,0.0,MyFitnessPal Dinner,16.0,,0.0,185.0,,,vC702BfhH0,,0.01,0.0,com.myfitnesspal.android,17.0,,da48692d-3795-48b8-a9ce-5d9524d235fc,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Tue Jan 05 00:00:00 GMT+01:00 2021,0,2050.0,4.0,11.0,2021-01-07 18:28:29.009,2021-01-07 18:28:29.009,0.0,29.3,0.0,0.0,MyFitnessPal Lunch,10.5,,0.0,583.74005,,,vC702BfhH0,,3.8,0.0,com.myfitnesspal.android,69.4,,0b7ebdae-80cc-4772-80ec-6501e4a63e67,,
233.0,0.0,149.0,,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2021-02-28 13:46:13.421,2021-02-28 13:46:13.421,0.065,1.02,0.236,4.0,Strawberries,7.08,,2.0,49.0,"cup, halves",,OD8XXfRrR9,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,2a38416f-2e48-4fd3-aa34-1ef678d17cb6,1,
,0.0,0.0,,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2021-02-28 13:46:13.423,2021-02-28 13:46:13.423,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,,0.0,140.0,serving,,OD8XXfRrR9,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,512ae8eb-7fa7-4736-884c-c1747fed725e,1,
0.0,0.0,0.0,,0.0,MyFitnessPal Snacks,,100005-Mon Dec 28 00:00:00 GMT+01:00 2020,0,40.02,2.0,12.0,2020-12-30 21:09:41.268,2020-12-30 21:09:41.268,0.0,3.5,0.0,0.0,MyFitnessPal Snacks,19.0,,0.0,307.5,,,vC702BfhH0,,5.0,0.0,com.myfitnesspal.android,31.0,,23f96389-bfd2-4338-b0cc-50cc624b04dd,,
