com.samsung.health.sleep_stage,6156001,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-11-05 03:02:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.740,2020-11-07 08:33:38.740,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 03:04:00.000,3542850d-34e2-4a5e-b762-4c3f3b8dd82c,
2020-11-04 05:13:00.000,6cdd4711-1233-feeb-52a9-6dca92b8015b,,2020-11-07 08:33:38.738,2020-11-07 08:33:38.738,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-04 05:15:00.000,7fe9999f-67f1-463c-afa0-3944d5e46c72,
2020-11-04 23:53:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.737,2020-11-07 08:33:38.737,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 00:06:00.000,088059a3-1e21-4447-9e74-a01ea80307b1,
2020-11-28 22:34:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.557,2020-11-29 07:57:32.557,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-28 22:56:00.000,7b1ba9c7-3e38-4751-b5cf-e7116fe23167,
2020-11-29 03:46:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.560,2020-11-29 07:57:32.560,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 03:47:00.000,389b5922-7c2e-41bf-b8e0-ee5517a0bfe9,
2020-11-28 22:56:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.557,2020-11-29 07:57:32.557,40003,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-28 23:11:00.000,88f41516-12db-4ed4-b26c-e53b1a669f84,
2020-11-29 04:06:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.560,2020-11-29 07:57:32.560,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 04:07:00.000,8379074e-673e-4e6b-bdac-ba1c1e7a43c7,
2020-11-29 07:44:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.564,2020-11-29 07:57:32.564,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 07:50:00.000,5d3cd056-0f21-422f-af06-57825d401baa,
2020-11-29 01:14:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.558,2020-11-29 07:57:32.558,40003,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 01:36:00.000,3cab59c6-9407-4969-985f-7ae0df4efb21,
2020-11-11 04:25:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.625,2020-11-11 06:14:05.625,40004,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 04:27:00.000,7aed3567-7621-4482-a444-1d10c27bc8f0,
2020-11-29 06:37:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.563,2020-11-29 07:57:32.563,40004,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 06:53:00.000,0c0376b5-d3d0-40b0-9861-23fa4bd4ffe7,
2020-11-09 01:20:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.821,2020-11-09 06:03:55.821,40003,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 01:27:00.000,dd3d0a21-9183-45f0-9c7e-24c18cb8982a,
2020-11-05 03:07:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.740,2020-11-07 08:33:38.740,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 03:09:00.000,8fb5cd97-49db-4e9b-bb6e-7c1a499996f6,
2020-11-29 02:41:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.560,2020-11-29 07:57:32.560,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 03:27:00.000,f2eaff89-310c-4a73-a86f-ccf6a6890ce5,
2020-11-09 03:17:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.823,2020-11-09 06:03:55.823,40004,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 03:41:00.000,9c3a42f0-715c-4cdf-b8ce-6b07dbe28b41,
2020-11-29 23:13:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.606,2020-11-30 07:42:23.606,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 23:44:00.000,c6370167-071e-4061-9125-00df41b95f76,
2020-11-11 05:38:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.627,2020-11-11 06:14:05.627,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 06:04:00.000,c5811c31-ac4d-4d57-a5a9-2750bd92e18e,
2020-11-05 01:13:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.739,2020-11-07 08:33:38.739,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 01:14:00.000,5e613af7-6f67-4846-b0ee-73effc7e4334,
2020-12-02 04:14:00.000,2b178c3c-7d86-8da0-75f3-0d35a461c291,,2020-12-02 07:53:34.524,2020-12-02 07:53:34.524,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-02 04:15:00.000,9a1db981-a504-4f0f-8361-2c2022f45298,
2020-11-10 22:40:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.620,2020-11-11 06:14:05.620,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-10 22:45:00.000,b5e85b89-11ea-4b16-ae46-7c61db11afd2,
2020-11-05 00:54:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.738,2020-11-07 08:33:38.738,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 01:02:00.000,d6547cb0-2dfa-4ed2-a499-2dd7869e76b1,
2020-11-29 05:35:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.562,2020-11-29 07:57:32.562,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 05:39:00.000,e720d7ee-c015-4535-8771-15323791b411,
2020-11-08 22:15:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.819,2020-11-09 06:03:55.819,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-08 22:17:00.000,8553a853-a692-4323-803c-fd4c51bf62dd,
2020-11-09 02:09:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.822,2020-11-09 06:03:55.822,40004,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 02:10:00.000,95b5dda4-0c34-4fa3-87cf-62bceea17c85,
