com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
46191,4,0,74,2021-02-25 12:40:00.000,230002,,2021-02-25 12:49:17.236,2021-02-25 12:49:17.236,74,1.1666666,53.89,2.9,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:40:59.999,3a35adf0-b518-cde4-7433-259df08fd75d,
45436,4,0,68,2021-02-26 08:57:00.000,,,2021-02-26 09:00:31.982,2021-02-26 09:00:31.982,68,1.1762733,53.445312,2.487793,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 08:58:00.000,ef80fe07-0de8-4ad6-b892-67206d359561,
44520,4,0,82,2021-02-25 11:19:00.000,230002,,2021-02-25 11:25:20.509,2021-02-25 11:25:20.508,82,1.4166666,63.07,3.19,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:19:59.999,5d88f95b-efb6-dab3-87a5-e30cd9270159,
10927,4,0,19,2021-02-26 07:39:00.000,230002,,2021-02-26 07:40:15.108,2021-02-26 07:40:15.104,19,1.3333334,14.57,0.66,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:39:59.999,c14feab2-c7fa-e164-50d7-eb43fc9f23fa,
21082,4,0,41,2021-02-26 08:58:00.000,,,2021-02-26 09:00:32.064,2021-02-26 09:00:32.064,41,1.5545368,32.773438,1.4880371,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 08:59:00.000,2ba54ede-09fb-448f-b307-4c89c1ab6d85,
5016,4,0,8,2021-02-25 19:33:00.000,,,2021-02-25 19:33:45.213,2021-02-25 19:33:45.213,8,1.195338,5.9960938,0.29638672,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 19:34:00.000,1c345f4d-6699-41c1-9ffa-bcc3521b4c3f,
4463,4,0,11,2021-02-26 08:41:00.000,230002,,2021-02-26 08:42:57.282,2021-02-26 08:42:57.281,11,2.3611112,10.54,0.71,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 08:41:59.999,b7827683-cbe0-72e0-c311-d46895ebf039,
5400,4,0,11,2021-02-25 08:50:00.000,230002,,2021-02-25 08:54:02.956,2021-02-25 08:54:02.947,11,1.5833334,8.55,0.39,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 08:50:59.999,4563ca94-0aa6-baad-4da2-8215d48575d8,
56138,4,0,103,2021-02-25 11:21:00.000,,,2021-02-25 11:22:32.032,2021-02-25 11:22:32.032,103,1.4098337,79.146484,3.7647705,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 11:22:00.000,418dfad4-3c6f-41bf-a6b2-0cd30331e37d,
58724,4,157,0,2021-02-25 12:10:00.000,,,2021-02-25 12:10:59.978,2021-02-25 12:10:45.905,157,2.97474,174.68945,12.861816,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:11:00.000,c70697af-8540-4846-ba86-b710a849e229,
