com.samsung.shealth.sleep,6156001,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,88.0,21,36,4,5,34,525,73,0,8,0,0,,,28.0,,7.0,,,e3427099-1802-da92-a8cc-3c5cced3f233.extra_data.json,5,93.0,82,525,2020-12-04 23:28:00.000,,2020-12-05 08:13:34.420,2020-12-05 08:13:33.103,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-05 08:13:00.000,e3427099-1802-da92-a8cc-3c5cced3f233,
,81.0,27,34,18,4,73,558,270,0,53,0,0,,1,66.0,,29.0,,,d1eeff0c-f985-d99e-0ba6-2cb3f3062bde.extra_data.json,3,86.0,69,558,2021-02-08 23:32:00.000,,2021-02-09 08:55:54.903,2021-02-09 08:55:52.603,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-09 08:50:00.000,d1eeff0c-f985-d99e-0ba6-2cb3f3062bde,
,80.0,10,10,5,8,26,169,103,1,13,0,0,,,24.0,,16.0,,,f3df41b2-b09f-c8bf-50be-7d55420465b6.extra_data.json,2,84.0,56,169,2020-12-10 04:48:00.000,,2020-12-10 07:45:18.880,2020-12-10 07:45:18.319,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-10 07:37:00.000,f3df41b2-b09f-c8bf-50be-7d55420465b6,
,68.0,14,14,10,13,47,437,148,2,22,0,0,,,12.0,,11.0,,,c46ed4b8-a25a-4293-984b-4606bb56acc9.extra_data.json,3,89.0,53,437,2021-01-24 23:47:00.000,,2021-01-25 07:10:57.639,2021-01-25 07:10:55.307,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-25 07:04:00.000,c46ed4b8-a25a-4293-984b-4606bb56acc9,
,67.0,14,14,5,8,71,490,153,1,48,2,0,,1,56.0,,28.0,,,caf2dcfc-43d0-0886-9f35-2c770bd4cdb2.extra_data.json,3,85.0,57,492,2021-01-31 23:35:00.000,,2021-02-01 08:05:27.164,2021-02-01 08:05:24.302,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-01 07:47:00.000,caf2dcfc-43d0-0886-9f35-2c770bd4cdb2,
,75.0,30,30,10,10,33,338,110,1,19,0,0,,,36.0,,10.0,,,d6089257-0583-2093-2578-5b566d05917b.extra_data.json,2,90.0,61,338,2021-01-04 01:22:00.000,,2021-01-04 07:19:48.654,2021-01-04 07:04:05.542,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-04 07:00:00.000,d6089257-0583-2093-2578-5b566d05917b,
,58.0,29,41,8,17,62,459,89,3,43,0,0,,,36.0,,14.0,,,55b27f10-0151-dcac-d024-aee3284574cd.extra_data.json,3,86.0,58,459,2020-11-10 22:25:00.000,,2020-11-11 06:14:05.651,2020-11-11 06:14:02.492,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-11 06:04:00.000,55b27f10-0151-dcac-d024-aee3284574cd,
,88.0,0,7,8,5,27,348,69,0,8,0,0,,,8.0,,8.0,,,32670f6e-74e8-1857-9bef-a17b7de4f0ee.extra_data.json,4,92.0,57,348,2020-12-02 22:59:00.000,,2020-12-03 04:50:45.961,2020-12-03 04:50:43.484,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-03 04:47:00.000,32670f6e-74e8-1857-9bef-a17b7de4f0ee,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-02 22:36:13.094,,2021-01-17 08:03:04.687,2021-01-17 08:03:04.687,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2021-01-03 08:46:05.985,54ec45f0-ef92-43b1-b98e-b5c19ee46699,
,60.0,0,7,3,16,54,515,51,2,21,0,0,,,4.0,,11.0,,,aa979088-cce7-0a89-edf7-192cd0eaeb7d.extra_data.json,5,89.0,42,515,2020-11-29 22:57:00.000,,2020-11-30 07:42:23.638,2020-11-30 07:42:19.317,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-30 07:32:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,
,63.0,36,36,9,17,31,408,131,1,18,0,0,,1,61.0,,19.0,,,b9741d79-00a9-53d4-f598-214358a9f67e.extra_data.json,4,92.0,65,408,2021-02-27 00:23:00.000,,2021-02-27 07:22:38.878,2021-02-27 07:19:59.345,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-27 07:11:00.000,b9741d79-00a9-53d4-f598-214358a9f67e,
,52.0,7,10,32,23,88,434,192,1,69,0,0,,1,47.0,,53.0,,,6e3decd4-844a-c7d7-edee-9982b413433c.extra_data.json,3,79.0,51,434,2021-02-25 01:36:00.000,,2021-02-25 08:54:07.187,2021-02-25 08:54:01.321,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-25 08:50:00.000,6e3decd4-844a-c7d7-edee-9982b413433c,
,61.0,0,0,11,4,15,76,76,1,10,0,0,,1,8.0,,47.0,,,10d32f81-4e97-9cef-d959-6008a988e688.extra_data.json,1,80.0,40,76,2021-02-03 13:01:00.000,,2021-02-03 14:33:45.349,2021-02-03 14:33:42.343,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-03 14:17:00.000,10d32f81-4e97-9cef-d959-6008a988e688,
