com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-11-07 22:00:00.000,,,,2020-11-23 19:21:29.569,2020-11-23 19:21:29.569,,,tracker_floor_reward_most_floors_climbed,UTC+0300,"{""mTarget"":-1,""mValue"":47.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-11-07 22:00:00.000,5c0526ba-143e-4646-9ea2-6279f0dcee4e,1,
,2020-12-18 23:00:00.000,,,,2020-12-22 23:00:00.668,2020-12-19 14:18:52.728,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":40.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-12-18 23:00:00.000,f256ec74-3f07-41e6-9e02-6b963832ed61,1,
,2020-12-23 12:39:40.823,,,,2020-12-24 12:57:09.424,2020-12-23 12:39:40.842,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":94,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-23 12:39:40.823,8b4db9f7-d6a8-40ae-a549-7718d5a88afc,0,
,,,,,2021-03-30 06:23:35.756,2020-11-07 08:33:19.102,,,LAST_SLEEP_CHECKING_TIME,,,vC702BfhH0,com.sec.android.app.shealth,Sleep.Goal.Temp,2021-03-29 21:00:00.000,59612c7d-3722-414b-98ee-3b6b9346cbf5,-10000,
,2021-02-28 10:35:01.216,,,,2021-03-13 11:38:52.466,2021-02-28 10:35:01.249,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":114,""mValue2"":60}",OD8XXfRrR9,com.sec.android.app.shealth,goal.activity,2021-02-28 10:35:01.216,a142c503-c6b5-40f5-82ff-415f315b8db4,0,
,2021-01-11 12:19:23.157,,,,2021-01-15 10:57:17.364,2021-01-11 12:19:23.298,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":122,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-01-11 12:19:23.157,ddc022d9-1004-4470-b469-1c3262f6725e,0,
,2020-11-08 21:53:13.844,,,,2020-12-13 12:00:14.650,2020-11-08 16:20:45.875,,,goal_activity_reward_most_active_day,UTC+0300,"{""mIsCompleted"":false,""mValue"":190,""mValue2"":0}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-08 16:20:45.803,51f5f4ae-d0d2-4a49-b7ad-9101fda27ab6,0,
,2020-12-29 23:00:00.000,,,,2021-01-04 23:00:01.549,2020-12-30 14:13:42.092,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":22.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-12-29 23:00:00.000,ab6d4e35-7663-439a-89a7-5a261a8c1e7a,1,
,2021-01-16 12:41:34.630,,,,2021-01-21 17:07:56.481,2021-01-16 12:41:34.660,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":79,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-01-16 12:41:34.630,a51dc3e7-3bdc-46ea-9316-36f640b81722,0,
,2020-12-27 15:04:34.360,,,,2020-12-29 16:44:46.790,2020-12-27 15:04:34.399,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":82,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-27 15:04:34.360,5fea39f0-2666-49ef-8d2e-c803d39927cb,0,
,2020-11-28 16:27:10.433,,,,2020-11-30 11:53:45.591,2020-11-28 16:27:10.444,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":84,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-28 16:27:10.433,9b5ef219-6902-455e-a767-ed72901ec108,0,
,2020-11-07 21:47:28.649,,,,2020-11-08 16:20:45.862,2020-11-07 14:12:53.671,,,goal_activity_reward_most_active_day,UTC+0300,"{""mIsCompleted"":false,""mValue"":154,""mValue2"":0}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-07 14:12:53.638,dfa714c5-64a3-4cd8-94b1-b9f39a2b1664,0,
,2021-01-21 17:07:56.472,,,,2021-02-17 19:19:53.813,2021-01-21 17:07:56.495,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":72,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-01-21 17:07:56.472,7ab833df-f0de-47c6-b5de-630d434b1829,0,
,2021-01-30 10:31:07.236,,,,2021-02-26 14:49:04.054,2021-01-30 10:31:07.306,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":83,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-01-30 10:31:07.236,40d0f35d-12ac-460c-998e-38e95cb79b29,0,
,2020-12-26 12:35:02.050,,,,2020-12-27 15:04:34.386,2020-12-26 12:35:02.106,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":258,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-26 12:35:02.050,7069e803-e4a6-437c-81fa-e04ac6216027,0,
,2020-12-24 12:57:09.395,,,,2020-12-25 11:45:15.446,2020-12-24 12:57:09.440,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":207,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-24 12:57:09.395,c8cb5d05-3f1b-4e04-87c7-e7069fe80df9,0,
1205,,13001,,8fa40765-0fa5-10ff-e3f1-b4e411be8ef9,2021-02-28 13:47:46.785,2021-01-24 15:07:21.359,,,1205,UTC+0200,280.968,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-01-24 14:56:25.210,dd9c4390-8551-4654-9e2a-cf5eab612401,0,
,2020-11-22 11:30:39.041,,,,2020-11-23 19:15:02.818,2020-11-22 11:30:39.070,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":150,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-22 11:30:39.041,afe4954d-4c8f-42c9-a5a2-f582f5c8c49d,0,
,2021-01-08 23:00:00.000,,,,2021-01-13 23:00:01.959,2021-01-09 12:02:12.442,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":31.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2021-01-08 23:00:00.000,2025d43e-bcdd-4414-a3f3-9f387e1bd7c7,1,
,2020-12-19 11:39:04.829,,,,2020-12-23 22:52:55.649,2020-12-19 11:39:04.847,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":228,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-19 11:39:04.829,f97031a5-1a56-4776-8b9c-c44e68893ab8,0,
0,2020-12-27 00:00:00.000,,,,2021-01-10 10:39:33.313,2020-12-28 20:14:26.567,,,goal_nutrition_goal_achieved,UTC+0200,"1969.0,2113.0",vC702BfhH0,com.sec.android.app.shealth,goal.nutrition,2020-12-27 00:00:00.000,537d120d-2912-4168-872a-434d08fb2b9f,1,
,2021-02-23 13:00:45.908,,,,2021-02-25 12:48:32.267,2021-02-23 13:00:45.966,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":62,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-02-23 13:00:45.908,645cf1c2-709a-416a-8629-a5dbb6155ca0,0,
1202,,11007,,a9771a44-4341-c92c-5a5b-bb322ea1d0fa,2021-02-28 13:50:31.320,2020-11-30 08:38:03.045,,,1202,UTC+0200,4.2683005,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2020-11-30 08:36:07.090,49924af0-3003-41b8-929e-509a94f1b2e6,0,
,2020-11-07 22:00:00.000,,,,2020-11-23 19:21:29.717,2020-11-23 19:21:29.597,,,tracker_floor_reward_target_achieved,UTC+0300,"{""mTarget"":10,""mValue"":47.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-11-07 22:00:00.000,a96d9426-5948-4cbc-9ae7-e025d71c66c7,1,
,2020-12-18 13:33:44.467,,,,2020-12-19 11:39:04.844,2020-12-18 13:33:44.481,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":114,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-18 13:33:44.467,16bcbcca-5d97-4ec8-a16c-2e875cbebb80,0,
,2021-02-15 14:03:32.948,,,,2021-02-16 14:09:00.926,2021-02-15 14:03:32.976,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":89,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-02-15 14:03:32.948,c9b6fafd-acc9-4f1a-a4d9-b699780f896c,0,
,2021-02-08 12:21:27.351,,,,2021-02-10 11:49:39.150,2021-02-08 12:21:27.431,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":101,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-02-08 12:21:27.351,e7dd7420-f148-4612-83a7-7091e6267d3d,0,
,2021-02-20 12:04:32.525,,,,2021-02-23 13:00:45.950,2021-02-20 12:04:32.552,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":89,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-02-20 12:04:32.525,c5a3ef9d-05f4-4c16-a53e-ec5615f34fe4,0,
,2021-02-10 11:49:39.084,,,,2021-02-11 20:40:39.534,2021-02-10 11:49:39.152,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":254,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-02-10 11:49:39.084,39ff0c1f-81a2-4ef6-bd77-4c995d295991,0,
,2020-11-11 12:22:23.764,,,,2020-11-12 16:41:18.147,2020-11-11 12:22:23.786,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":87,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-11 12:22:23.764,c8a8638a-a429-406f-add2-8e2dd33f5c2b,0,
,2021-02-04 13:15:00.330,,,,2021-02-08 12:21:27.418,2021-02-04 13:15:00.354,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":240,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-02-04 13:15:00.330,041019d9-fa71-4550-a6b9-2639f70d4f4b,0,
,2020-12-25 11:45:15.385,,,,2020-12-26 12:35:02.072,2020-12-25 11:45:15.483,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":157,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-25 11:45:15.385,4131f6ff-d814-42ed-88e0-e685bdd6020f,0,
0,2020-12-29 00:00:00.000,,,,2021-01-10 10:39:33.342,2020-12-30 22:43:55.876,,,goal_nutrition_goal_achieved,UTC+0200,"2087.0,2113.0",vC702BfhH0,com.sec.android.app.shealth,goal.nutrition,2020-12-29 00:00:00.000,c5efe0f6-5692-4664-904a-65c5e87ea6ff,1,
,2020-12-13 10:20:39.287,,,,2020-12-16 15:20:24.872,2020-12-13 10:20:39.317,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":421,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-13 10:20:39.287,657b42d7-b7fc-4093-9a9f-a9046ef38730,0,
,2020-11-29 23:00:00.000,,,,2020-12-02 11:58:16.136,2020-11-30 14:43:12.964,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":16.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-11-29 23:00:00.000,c6513033-d81a-42b1-a240-282eb4c71022,1,
,2021-02-19 13:52:52.321,,,,2021-02-20 12:04:32.547,2021-02-19 13:52:52.360,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":71,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-02-19 13:52:52.321,2b3f11b1-bf56-4ab3-8454-f6ca7abd1e50,0,
,2021-01-26 16:31:15.268,,,,2021-01-27 13:22:23.220,2021-01-26 16:31:15.280,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":87,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-01-26 16:31:15.268,75f24d0c-a27a-43f3-81e1-b4036f79c113,0,
,2021-01-23 13:35:01.180,,,,2021-01-24 13:58:45.176,2021-01-23 13:35:01.231,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":79,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-01-23 13:35:01.180,e647c293-6bb5-43d9-b0cd-9380185856c5,0,
,2020-11-09 10:32:06.368,,,,2020-11-10 11:51:21.900,2020-11-09 10:32:06.376,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":180,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-09 10:32:06.368,80124db9-b340-46c2-a065-dba4b9b85f3b,0,
,2020-12-09 23:00:00.000,,,,2020-12-13 23:00:00.416,2020-12-11 10:57:10.221,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":10.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-12-09 23:00:00.000,34f2e3d8-6762-4ddd-b51a-ad376f5d57db,1,
,2020-12-11 10:35:04.090,,,,2020-12-13 10:20:39.316,2020-12-11 10:35:04.114,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":74,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-11 10:35:04.090,a2b2dc5a-dc4d-4550-8341-07cb8ea1379d,0,
,2020-11-16 10:30:40.532,,,,2020-11-22 11:30:39.068,2020-11-16 10:30:40.546,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":115,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-16 10:30:40.532,ec53dc3d-a3a3-4651-a172-6dbdc786024c,0,
,2020-11-23 19:15:02.791,,,,2020-11-26 17:09:00.763,2020-11-23 19:15:02.822,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-23 19:15:02.791,411058d2-618e-4d75-b05b-7b01350c7e93,0,
,2020-12-22 13:28:04.907,,,,2020-12-23 12:39:40.839,2020-12-22 13:28:25.488,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":82,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-22 13:28:04.907,93027256-7e96-41aa-a008-d7a8c800edf4,0,
1205,,11007,,a9771a44-4341-c92c-5a5b-bb322ea1d0fa,2021-02-28 13:50:32.027,2020-11-30 08:38:03.071,,,1205,UTC+0200,133.268,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2020-11-30 08:36:07.090,18296b30-308a-4713-8e58-1c55a830c5de,0,
1203,,1002,,df8e588b-6603-24ec-0988-6ff943e24746,2021-02-28 13:51:14.163,2020-11-07 08:33:40.002,,,1203,UTC+0300,1997890,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2020-11-06 15:01:00.840,d5bc9cab-86b6-4ea7-9796-d5dd7af76dde,0,
1200,,13001,,8fa40765-0fa5-10ff-e3f1-b4e411be8ef9,2021-02-28 13:47:46.723,2021-01-24 15:07:21.293,,,1200,UTC+0200,773.127,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-01-24 14:56:25.210,2a2dc2be-1c4d-4e5b-94c9-94c43e5f8dca,0,
,2020-11-08 13:11:54.522,,,,2020-11-09 10:32:06.376,2020-11-08 13:11:54.559,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":190,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-08 13:11:54.522,4a135b6f-e4ba-4e26-b7fb-9b938d9a32b2,0,
1203,,14001,,e5c5eaaf-e727-cc71-c531-c6da74a078d1,2021-02-28 13:47:34.506,2021-02-28 13:47:34.402,,,1203,UTC+0300,1932730,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2020-11-03 15:55:34.750,ced4cd7e-8451-4380-b109-03cc0eb2630c,0,
,2020-12-01 12:48:06.376,,,,2020-12-02 13:39:02.479,2020-12-01 12:48:06.411,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":91,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-01 12:48:06.376,2f0830d5-0cf2-4fb9-8547-c44e45d683b7,0,
1202,,1002,,5fe8bd34-476b-fd39-b6b2-c4e3a14cb4d6,2021-02-28 13:47:41.832,2021-02-28 13:47:35.705,,,1202,UTC+0300,2.6894639,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2020-11-07 10:14:08.000,075ef923-e26a-4688-97d9-84879a724610,0,
1203,,1002,,d59279cd-8fbc-4786-d70f-6f35765f1dc7,2021-02-28 13:47:41.448,2021-02-28 13:47:36.508,,,1203,UTC+0200,2034120,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2020-12-06 13:00:07.940,1cd771a8-191e-476f-9b35-0e39b2d4c1ff,0,
,2020-12-19 23:00:00.000,,,,2020-12-26 23:00:00.402,2020-12-21 15:45:06.106,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":25.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-12-19 23:00:00.000,b4b00421-1b30-46a5-96db-9819c2d06b9d,1,
1203,,1002,,a2ce1048-0d1a-fc55-c0f6-58fcca52c0bd,2021-02-28 13:47:41.448,2021-02-28 13:47:37.990,,,1203,UTC+0200,3920550,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2020-12-18 13:33:02.950,c6c3665b-41c2-4a57-82ed-fa5affb3c973,0,
,2020-12-30 23:00:00.000,,,,2021-01-04 23:00:01.570,2020-12-31 14:18:31.978,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":22.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-12-30 23:00:00.000,3a8ccbef-af4a-4a42-98e9-e0d127382f1e,1,
1201,,1002,,f5539231-05ae-1504-c46e-77d79bf8484b,2021-02-28 13:47:38.835,2021-02-28 13:47:38.835,,,1201,UTC+0200,5.871,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2020-12-24 15:14:29.290,bc224507-708b-4664-82bb-857ae485224e,1,
1205,,14001,,9d09df76-1735-5d06-9679-30c2e305e41b,2021-02-28 13:47:34.573,2020-11-07 08:33:38.534,,,1205,UTC+0300,434.08,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2020-11-02 15:45:45.730,0f448bb9-b586-4df5-9faf-25db757bf0e6,0,
,2021-01-27 13:22:23.164,,,,2021-01-30 10:31:07.302,2021-01-27 13:22:23.222,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":208,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2021-01-27 13:22:23.164,0ca7ec4f-c73e-439c-b455-fcf00ef3562f,0,
1205,,1002,,036c75b7-2f5d-dde4-e454-85b4e8e2953e,2021-02-28 13:47:41.478,2021-02-28 13:47:39.757,,,1205,UTC+0200,963.8,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-01-09 12:42:59.000,3808b96c-ae09-4f97-aa74-e4cd52835aba,0,
1205,,1001,,6ba2a734-8d0a-6211-da38-4d1432f1b6a4,2021-02-28 13:47:46.903,2021-01-24 16:54:07.746,,,1205,UTC+0200,201.075,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-01-24 16:42:27.210,990db2b3-76ec-4399-b0a4-df7f8dcc7cdc,1,
1202,,1002,,f29784a5-07f2-0f51-3619-351713a75e85,2021-02-28 13:47:41.885,2021-02-28 13:47:41.885,,,1202,UTC+0200,3.353543,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2021-02-11 13:38:08.720,991fde5c-4365-400d-8dcd-a2f7abf6917b,1,
1205,,14001,,7ac0d9c1-b8e4-9d7c-4103-4dbc7939b0be,2021-02-28 13:47:34.687,2021-02-28 13:47:34.687,,,1205,UTC+0300,464.9,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2020-11-04 15:49:06.150,f963e16b-3031-4402-9cc4-482ba901f06c,1,
1205,,1002,,df8e588b-6603-24ec-0988-6ff943e24746,2021-02-28 13:51:14.220,2020-11-07 08:33:40.021,,,1205,UTC+0300,436.036,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2020-11-06 15:01:00.840,77434a0b-b2af-4358-b576-dfe0ebecc3d0,0,
1205,,11007,,e3a6c436-2f99-f153-5053-3a377d8da768,2021-02-28 13:47:45.808,2021-02-28 13:47:43.438,,,1205,UTC+0200,219.268,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2020-12-01 13:16:01.080,47591f9f-c1d4-496e-8e01-cf48a2fdc485,0,
1202,,1002,,adb2f4c3-920a-098b-04dc-98689646d7b4,2021-02-28 13:47:41.832,2021-02-28 13:47:35.902,,,1202,UTC+0200,2.7359807,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2020-11-29 10:44:27.000,0e805cf4-5dec-49df-9068-41bd3a0bf2d6,0,
1200,,11007,,2d406375-c963-a784-fd21-808b0d8d70e8,2021-02-28 13:47:45.676,2021-02-28 13:47:43.901,,,1200,UTC+0200,51440.367,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2020-12-13 11:52:45.680,5fab1d27-d368-464b-b8ba-efdd6f49c444,0,
1201,,1002,,01724e7e-0693-f4c9-3145-09260867038b,2021-02-28 13:47:38.777,2021-02-28 13:47:37.021,,,1201,UTC+0200,3.072,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2020-12-12 15:30:15.820,95632fe8-bdf5-435a-be2e-1a4424bb60e6,0,
1202,,11007,,82ba609c-9816-9c72-799e-109bd4fa087d,2021-02-28 13:47:45.278,2021-02-28 13:47:44.309,,,1202,UTC+0200,4.8647795,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2020-12-19 14:06:15.500,70fd98df-9dfd-468f-b87b-b8f259908918,0,
1201,,1002,,4cb4e55e-8d6a-a048-0a09-29c3d1abb485,2021-02-28 13:47:38.777,2021-02-28 13:47:38.322,,,1201,UTC+0200,3.268,OD8XXfRrR9,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2020-12-21 13:08:59.800,b999fc5e-7dba-42b1-acf4-3d5cd2a0f798,0,
