com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-11-12 16:41:18.126,,,,2020-11-13 17:08:37.808,2020-11-12 16:41:18.148,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":79,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-11-12 16:41:18.126,8cb62141-7ae3-4b01-b8ed-46eff512cf75,0,
0,2020-12-22 00:00:00.000,,,,2021-01-10 10:39:33.295,2020-12-23 20:00:18.411,,,goal_nutrition_goal_achieved,UTC+0200,"2272.0,2113.0",vC702BfhH0,com.sec.android.app.shealth,goal.nutrition,2020-12-22 00:00:00.000,c119a712-4445-4e34-9e83-9339d23597f1,1,
,2020-11-30 23:00:00.000,,,,2020-12-02 11:58:16.178,2020-12-02 11:58:16.178,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":10.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-11-30 23:00:00.000,11590ed7-7f62-41f7-8fda-353b8666970d,1,
1200,,1001,,6ba2a734-8d0a-6211-da38-4d1432f1b6a4,2021-02-28 13:47:46.891,2021-01-24 16:54:07.678,,,1200,UTC+0200,1182.44,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-01-24 16:42:27.210,cf11f341-de48-4535-a3b1-d2b1a3592d16,1,
,2020-12-30 15:10:24.198,,,,2021-01-02 11:57:37.752,2020-12-30 15:10:24.229,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":68,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-30 15:10:24.198,c48f03fb-d7bb-4cba-8857-06fea14194fb,0,
,2020-12-01 23:00:00.000,,,,2020-12-03 16:14:14.792,2020-12-02 11:58:16.203,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":24.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-12-01 23:00:00.000,fb1db3e8-63fa-48bc-b3da-55dce71d9344,1,
,2021-01-23 23:00:00.000,,,,2021-01-28 23:00:01.189,2021-01-24 16:58:42.006,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":20.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2021-01-23 23:00:00.000,71d06161-36c6-4c4b-9e0f-0f0a5ab02ddb,1,
1203,,13001,,8fa40765-0fa5-10ff-e3f1-b4e411be8ef9,2021-02-28 13:47:46.739,2021-01-24 15:07:21.319,,,1203,UTC+0200,3061120,vC702BfhH0,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-01-24 14:56:25.210,8c927d8e-ac68-4f14-afb8-f676a270c577,0,
,2020-12-20 15:55:01.031,,,,2020-12-22 13:28:25.483,2020-12-20 15:55:01.054,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":178,""mValue2"":60}",vC702BfhH0,com.sec.android.app.shealth,goal.activity,2020-12-20 15:55:01.031,8858f7c4-f871-4080-b16a-c8b6ced2701f,0,
,2020-12-16 23:00:00.000,,,,2020-12-22 23:00:00.634,2020-12-17 21:41:25.432,,,tracker_floor_reward_target_achieved,UTC+0200,"{""mTarget"":10,""mValue"":25.0}",vC702BfhH0,com.sec.android.app.shealth,tracker.floor,2020-12-16 23:00:00.000,e3b1f09e-2760-432b-ac79-c4d5529e452a,1,
