com.samsung.shealth.exercise.weather,6156001,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
2.0,,2021-02-22 10:58:06.700,46.515594,,,Partly Cloudy,,1,TWC,2021-02-22 11:39:39.700,2021-02-22 11:39:39.695,0,6.6078105,10.0,54,UTC+0200,RHeBeWmk3Z,6eef5b41-4239-7915-a8b9-7a1448c257c2,com.sec.android.app.shealth,,,,2,39b51a01-7f84-c065-4d7e-595eb07d0f15,
0.0,,2020-12-17 13:37:33.080,46.5112,,,Partly Cloudy,,1,TWC,2020-12-17 15:06:07.120,2020-12-17 15:06:07.120,0,6.6037087,9.0,73,UTC+0200,RHeBeWmk3Z,ec3b2a96-9ba4-3316-2182-76ce5305d576,com.sec.android.app.shealth,,,,2,d7240d94-178e-0778-eae8-14118f046efd,
1.0,,2020-12-23 12:29:18.955,46.516247,,,Partly Cloudy,,1,TWC,2020-12-23 12:40:21.564,2020-12-23 12:40:21.564,0,6.6073666,11.0,83,UTC+0200,RHeBeWmk3Z,0f74e81b-67a4-8fdc-c06c-cbc53d79171a,com.sec.android.app.shealth,,,,2,0cc75108-0c31-8b40-f743-2e0bec00ee73,
0.0,,2020-12-02 13:06:13.850,46.516552,,,Mostly Cloudy,,1,TWC,2020-12-02 13:11:14.407,2020-12-02 13:11:14.407,0,6.6063156,3.0,74,UTC+0200,RHeBeWmk3Z,77c2ce8e-e81f-0102-0478-0e0d080febe6,com.sec.android.app.shealth,,,,3,9664f212-c933-7c35-2ff2-07c00a8fd18f,
0.0,,2020-12-31 13:30:50.960,46.515415,,,Rain and Snow,,1,TWC,2020-12-31 14:15:01.711,2020-12-31 14:15:01.711,0,6.6078525,3.0,81,UTC+0200,RHeBeWmk3Z,3818ffb5-e1aa-bb08-b37a-2f9bfc9b6652,com.sec.android.app.shealth,,,,13,f09fa077-354a-8569-e658-d284f9554fb6,
1.0,,2021-01-05 12:11:56.840,46.515266,,,Mostly Cloudy,,1,TWC,2021-01-05 12:44:39.253,2021-01-05 12:44:39.253,0,6.6078253,2.0,76,UTC+0200,RHeBeWmk3Z,017ce2eb-1c27-74aa-b0a6-8635d6555827,com.sec.android.app.shealth,,,,3,d632d4c8-f0a8-3a7b-f16d-80ae75fa5295,
1.0,,2021-01-21 12:34:52.950,46.51543,,,Cloudy,,1,TWC,2021-01-21 13:04:44.728,2021-01-21 13:04:44.728,0,6.6079974,9.0,65,UTC+0200,RHeBeWmk3Z,f15c2a5a-a710-4824-4348-8d472f712f69,com.sec.android.app.shealth,,,,3,d3be73c9-4659-e6be-a33a-06688325cff4,
0.0,,2021-01-24 11:00:07.695,46.51301,,,Rain and Snow,,1,TWC,2021-01-24 11:34:19.018,2021-01-24 11:34:19.018,0,6.6077394,4.0,84,UTC+0200,RHeBeWmk3Z,0ae2e3a0-c6e9-3c29-8212-a8dae49ef359,com.sec.android.app.shealth,,,,13,7430aea3-1995-c1b8-51a4-a124aa9c4515,
1.0,,2021-02-05 12:44:14.181,46.515583,,,Rain,,1,TWC,2021-02-05 12:56:54.814,2021-02-05 12:56:54.814,0,6.6079264,9.0,76,UTC+0200,RHeBeWmk3Z,29ee5e8c-b66f-ae40-3775-8eb99e4c2d75,com.sec.android.app.shealth,,,,5,a4cc859b-a818-1e6f-8851-73fd479cb83f,
1.0,,2020-12-08 11:53:40.730,46.51401,,,Mostly Cloudy,,1,TWC,2020-12-08 12:27:36.095,2020-12-08 12:27:36.095,0,6.60451,4.0,70,UTC+0200,RHeBeWmk3Z,f7fa8162-72a7-23f3-cbe5-db60e2b8f743,com.sec.android.app.shealth,,,,3,483d8128-08eb-3a2d-ad12-69455035f947,
0.0,,2020-12-28 13:31:58.990,46.516804,,,Mostly Cloudy,,1,TWC,2020-12-28 14:08:36.160,2020-12-28 14:08:36.160,0,6.606221,4.0,73,UTC+0200,RHeBeWmk3Z,a441e477-a84a-6ddf-cc64-025ec75d6339,com.sec.android.app.shealth,,,,3,458deb89-cf77-a4f7-09ce-9ce388925ab0,
1.0,,2020-12-19 10:56:46.170,46.661175,,,Mostly Cloudy,,1,TWC,2020-12-19 11:42:08.764,2020-12-19 11:42:08.764,0,6.3261104,5.0,73,UTC+0200,RHeBeWmk3Z,5c2b7f7b-21f4-21bb-fe68-dc499a34ef87,com.sec.android.app.shealth,,,,3,ad94f67b-48bb-991e-ea97-9e1ab79f6703,
1.0,,2021-01-23 12:50:17.320,46.544136,,,Cloudy,,1,TWC,2021-01-23 13:45:34.319,2021-01-23 13:45:34.319,0,6.570554,4.0,74,UTC+0200,RHeBeWmk3Z,15a61e50-f649-1857-ccdc-2303e1eb3334,com.sec.android.app.shealth,,,,3,27a906ec-bea6-3d27-ad80-e5ba9eb133c5,
0.0,,2021-01-23 11:31:00.740,46.516865,,,Rain and Snow,,1,TWC,2021-01-23 11:54:56.466,2021-01-23 11:54:56.466,0,6.6055417,4.0,84,UTC+0200,RHeBeWmk3Z,ea8ddeb7-4563-763e-2b76-acaeb0050f29,com.sec.android.app.shealth,,,,13,99674d0e-0008-90fa-572d-bac314fdf9bc,
0.0,,2020-12-20 15:26:08.116,46.519733,,,Light Rain,,1,TWC,2020-12-20 16:28:37.974,2020-12-20 16:28:37.974,0,6.637345,7.0,87,UTC+0200,RHeBeWmk3Z,8b3ac2e8-b557-4334-7973-7f8f98d677ae,com.sec.android.app.shealth,,,,5,d68bb00b-0745-3ca6-5a74-fc0ec0ec86f0,
1.0,,2021-02-10 11:08:46.730,46.29606,,,Cloudy,,1,TWC,2021-02-10 13:51:35.143,2021-02-10 13:51:35.137,0,7.0557785,-1.0,85,UTC+0200,RHeBeWmk3Z,c2562aaa-455d-60a8-f762-13d6a38b81f9,com.sec.android.app.shealth,,,,3,9940fc1d-b577-9147-180a-fde35b4a5d94,
0.0,,2020-11-30 08:16:40.080,46.520153,,,Mostly Cloudy,,1,TWC,2020-11-30 08:36:08.033,2020-11-30 08:36:08.033,0,6.599001,1.0,83,UTC+0200,RHeBeWmk3Z,a9771a44-4341-c92c-5a5b-bb322ea1d0fa,com.sec.android.app.shealth,,,,3,86175454-2315-a98c-eaba-0f97cc1a0055,
0.0,,2020-12-25 11:35:29.888,47.386013,,,Cloudy,,1,TWC,2020-12-25 12:30:49.643,2020-12-25 12:30:49.643,0,8.521636,2.0,88,UTC+0200,RHeBeWmk3Z,26bb411d-9930-02d1-1bff-9c750a705f12,com.sec.android.app.shealth,,,,3,7dd5dd6a-ab5e-c0b9-1abd-8bd1e63a25f5,
1.0,,2021-01-25 11:59:33.710,46.51532,,,Mostly Cloudy,,1,TWC,2021-01-25 12:29:35.306,2021-01-25 12:29:35.306,0,6.6080856,3.0,70,UTC+0200,RHeBeWmk3Z,607b9fac-5f91-0b52-3af2-e4fa2d79e155,com.sec.android.app.shealth,,,,2,6409750f-c5c3-5eb0-0a71-dcff51372a68,
0.0,,2020-12-19 08:38:39.570,46.516094,,,Partly Cloudy,,1,TWC,2020-12-19 08:48:46.245,2020-12-19 08:48:46.245,0,6.607636,4.0,84,UTC+0200,RHeBeWmk3Z,d17ef784-a141-0cba-5efb-200fa964fb7c,com.sec.android.app.shealth,,,,2,82e2c153-6d17-05f9-a1ba-0f965ab79635,
1.0,,2020-12-22 13:10:23.060,46.516277,,,Partly Cloudy,,1,TWC,2020-12-22 13:51:55.082,2020-12-22 13:51:55.082,0,6.607408,11.0,83,UTC+0200,RHeBeWmk3Z,b0f4b30c-302b-7a26-8d0d-a34e39b81e4e,com.sec.android.app.shealth,,,,2,362c8813-ff45-fe96-5000-5c891acdf9ae,
0.0,,2020-12-25 13:07:02.247,47.377785,,,Cloudy,,1,TWC,2020-12-25 13:30:23.126,2020-12-25 13:30:23.126,0,8.539777,3.0,80,UTC+0200,RHeBeWmk3Z,04c65df2-1dd6-66cd-2f72-6eaa73cc116f,com.sec.android.app.shealth,,,,3,e8474916-4f47-97b5-9d88-084d256b9cdc,
0.0,,2021-01-22 13:00:34.911,46.515167,,,Light Rain,,1,TWC,2021-01-22 13:14:14.341,2021-01-22 13:14:14.341,0,6.6076865,9.0,73,UTC+0200,RHeBeWmk3Z,e43aa56f-d329-7f7d-e43b-0ea778e65645,com.sec.android.app.shealth,,,,6,11fcc5c9-2817-4f6c-6e13-b54305c91f9d,
0.0,,2020-12-10 14:01:41.940,46.515327,,,Cloudy,,1,TWC,2020-12-10 14:32:45.705,2020-12-10 14:32:45.705,0,6.6078334,3.0,84,UTC+0200,RHeBeWmk3Z,019a4465-abc0-3785-fa1e-2ff7e2df0609,com.sec.android.app.shealth,,,,3,98aa159d-e6cc-06fc-2469-5658256542c9,
2.0,,2021-02-22 11:50:07.020,46.515274,,,Partly Cloudy,,1,TWC,2021-02-22 12:02:32.674,2021-02-22 12:02:32.222,0,6.6077714,11.0,51,UTC+0200,RHeBeWmk3Z,bc54d526-8703-8a63-531c-4a5dcb3c4c5b,com.sec.android.app.shealth,,,,2,1afcd0b4-f8f5-35d1-498e-f89d39169b98,
