com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1890,0f77d485-38bd-4331-967c-22718b9ad596.binning_data.json,1035912,6000,59,2020-11-19 22:00:01.209,com.sec.android.app.shealth,2020-11-19 22:00:01.209,,1.4243164,1475.4673,69.00115,1831,vC702BfhH0,com.sec.android.app.shealth,0,0f77d485-38bd-4331-967c-22718b9ad596.achievement.json,0f77d485-38bd-4331-967c-22718b9ad596,1605744000000,
24,5aef88b6-d7f2-483a-9ffa-81eda31ca0a0.binning_data.json,20639,6000,0,2021-02-14 23:00:02.762,com.sec.android.app.shealth,2021-02-14 23:00:02.762,,0.8950652,18.473959,0.8805178,24,vC702BfhH0,com.sec.android.app.shealth,0,5aef88b6-d7f2-483a-9ffa-81eda31ca0a0.achievement.json,5aef88b6-d7f2-483a-9ffa-81eda31ca0a0,1613260800000,
6116,bbd71273-387b-4f51-9b77-fab0e2db9643.binning_data.json,2626416,6000,4287,2021-01-06 23:00:02.306,com.sec.android.app.shealth,2021-01-06 23:00:02.306,,2.367131,6217.0723,418.98178,1829,vC702BfhH0,com.sec.android.app.shealth,0,bbd71273-387b-4f51-9b77-fab0e2db9643.achievement.json,bbd71273-387b-4f51-9b77-fab0e2db9643,1609891200000,
2490,66d6f639-ff92-4158-8fe7-a9e9bdd987cf.binning_data.json,1379773,6000,91,2021-01-31 23:00:24.434,com.sec.android.app.shealth,2021-01-31 23:00:24.434,,1.3744806,1896.4722,102.29295,2399,RHeBeWmk3Z,com.sec.android.app.shealth,0,66d6f639-ff92-4158-8fe7-a9e9bdd987cf.achievement.json,66d6f639-ff92-4158-8fe7-a9e9bdd987cf,1612051200000,
16698,b8cc2721-dc57-4fc7-a2e2-7a95d24cc3d0.binning_data.json,9265470,6000,28,2020-12-20 23:15:02.646,com.sec.android.app.shealth,2020-12-20 08:35:25.495,b8cc2721-dc57-4fc7-a2e2-7a95d24cc3d0.source_info.json,1.3162968,12196.109,652.12695,16670,VfS0qUERdZ,com.sec.android.app.shealth,0,b8cc2721-dc57-4fc7-a2e2-7a95d24cc3d0.achievement.json,b8cc2721-dc57-4fc7-a2e2-7a95d24cc3d0,1608422400000,
14593,3b0d7193-1973-4992-b929-0361fefbd90f.binning_data.json,6160436,6000,10268,2020-12-19 23:00:05.027,com.sec.android.app.shealth,2020-12-18 23:14:53.024,,2.1035645,12958.874,925.632,4325,RHeBeWmk3Z,com.sec.android.app.shealth,0,3b0d7193-1973-4992-b929-0361fefbd90f.achievement.json,3b0d7193-1973-4992-b929-0361fefbd90f,1608249600000,
5882,846efd92-0f04-45a7-9480-8dd8cc3a02e2.binning_data.json,2495758,6000,4387,2021-01-13 23:00:03.199,com.sec.android.app.shealth,2021-01-13 23:00:03.199,,2.4105968,6016.2686,405.88364,1495,vC702BfhH0,com.sec.android.app.shealth,0,846efd92-0f04-45a7-9480-8dd8cc3a02e2.achievement.json,846efd92-0f04-45a7-9480-8dd8cc3a02e2,1610496000000,
14059,c24d0a17-351a-4dc7-9928-736318d111e4.binning_data.json,7488525,6000,71,2021-02-18 22:21:39.705,com.sec.android.app.shealth,2021-02-17 23:08:19.526,c24d0a17-351a-4dc7-9928-736318d111e4.source_info.json,1.4712188,11017.259,521.5015,13988,VfS0qUERdZ,com.sec.android.app.shealth,0,c24d0a17-351a-4dc7-9928-736318d111e4.achievement.json,c24d0a17-351a-4dc7-9928-736318d111e4,1613606400000,
6089,903856f4-99d5-43a2-9f05-89c221523bec.binning_data.json,3406121,6000,28,2020-11-26 22:00:03.036,com.sec.android.app.shealth,2020-11-26 22:00:03.036,,1.3462597,4585.525,215.23071,6061,RHeBeWmk3Z,com.sec.android.app.shealth,0,903856f4-99d5-43a2-9f05-89c221523bec.achievement.json,903856f4-99d5-43a2-9f05-89c221523bec,1606348800000,
6,a2d872c9-783c-4ae9-bdb7-43ee32f7d000.binning_data.json,8393,6000,0,2021-02-03 23:00:01.445,com.sec.android.app.shealth,2021-02-03 23:00:01.445,,0.5299138,4.4477234,0.22051239,6,vC702BfhH0,com.sec.android.app.shealth,0,a2d872c9-783c-4ae9-bdb7-43ee32f7d000.achievement.json,a2d872c9-783c-4ae9-bdb7-43ee32f7d000,1612310400000,
49,789510ba-e1fe-46bc-a679-704c8889d007.binning_data.json,44510,6000,0,2021-01-28 23:00:02.315,com.sec.android.app.shealth,2021-01-28 23:00:02.315,,0.8142104,36.240967,1.8123856,49,vC702BfhH0,com.sec.android.app.shealth,0,789510ba-e1fe-46bc-a679-704c8889d007.achievement.json,789510ba-e1fe-46bc-a679-704c8889d007,1611792000000,
14061,5d2f838a-f744-4bdd-85b6-988b236b0ce2.binning_data.json,8158897,6000,141,2020-12-24 21:35:02.321,com.sec.android.app.shealth,2020-12-23 23:15:02.272,5d2f838a-f744-4bdd-85b6-988b236b0ce2.source_info.json,1.3189263,10760.984,544.08215,13920,VfS0qUERdZ,com.sec.android.app.shealth,0,5d2f838a-f744-4bdd-85b6-988b236b0ce2.achievement.json,5d2f838a-f744-4bdd-85b6-988b236b0ce2,1608768000000,
559,c4b4a56b-6aec-4961-bfc3-e6fb2c5a7221.binning_data.json,317635,6000,8,2021-02-13 20:20:39.054,com.sec.android.app.shealth,2021-02-12 23:20:42.910,c4b4a56b-6aec-4961-bfc3-e6fb2c5a7221.source_info.json,1.3648694,433.5313,22.396034,551,VfS0qUERdZ,com.sec.android.app.shealth,0,c4b4a56b-6aec-4961-bfc3-e6fb2c5a7221.achievement.json,c4b4a56b-6aec-4961-bfc3-e6fb2c5a7221,1613174400000,
809,9f49cfb6-25d6-48f7-9991-f3c658c3e9b3.binning_data.json,473921,6000,7,2020-11-14 22:00:05.170,com.sec.android.app.shealth,2020-11-14 22:00:05.170,,1.2670155,600.466,28.58,802,RHeBeWmk3Z,com.sec.android.app.shealth,0,9f49cfb6-25d6-48f7-9991-f3c658c3e9b3.achievement.json,9f49cfb6-25d6-48f7-9991-f3c658c3e9b3,1605312000000,
6130,bcb4fb6c-45d5-4287-82b2-832b11beead5.binning_data.json,2598318,6000,4472,2021-02-19 23:00:03.783,com.sec.android.app.shealth,2021-02-19 23:00:03.783,,2.4156775,6276.701,427.4388,1658,vC702BfhH0,com.sec.android.app.shealth,0,bcb4fb6c-45d5-4287-82b2-832b11beead5.achievement.json,bcb4fb6c-45d5-4287-82b2-832b11beead5,1613692800000,
