com.samsung.shealth.stand_day_summary,6156001,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
152576,2021-03-12 15:00:49.272,2021-03-11 22:00:02.690,RHeBeWmk3Z,com.sec.android.app.shealth,08ec5242-39e2-5fb0-2be8-0d57f2e51e7d,1615507200000,
0,2021-01-30 23:00:05.962,2021-01-30 23:00:05.962,RHeBeWmk3Z,com.sec.android.app.shealth,cb5f1c59-c654-bbc2-8393-a455b0fcb44b,1612051200000,
533504,2021-03-18 17:36:11.280,2021-03-17 22:00:05.728,RHeBeWmk3Z,com.sec.android.app.shealth,92d23e36-9e61-a0b6-a6f5-b4cf6841d614,1616025600000,
4726784,2021-02-07 21:08:41.344,2021-02-06 23:00:10.060,RHeBeWmk3Z,com.sec.android.app.shealth,788b9eac-f0a1-3450-41c0-bb2c49e0b18d,1612656000000,
1056769,2021-03-24 18:55:16.301,2021-03-23 22:00:03.957,RHeBeWmk3Z,com.sec.android.app.shealth,7b83cfac-1e23-d46c-3667-c1470d327b90,1616544000000,
4194305,2020-12-18 21:49:44.272,2020-12-17 23:00:05.920,RHeBeWmk3Z,com.sec.android.app.shealth,55c0c61e-ac0e-fa54-86bb-cb9f3682064b,1608249600000,
33792,2021-03-30 12:00:03.328,2021-03-29 21:00:03.714,RHeBeWmk3Z,com.sec.android.app.shealth,59d63b89-6ec2-1c28-9884-fde54ab87ea9,1617062400000,
8388608,2021-02-02 22:52:28.276,2021-02-01 23:00:04.804,RHeBeWmk3Z,com.sec.android.app.shealth,2ce003ef-3e4a-c76a-30a3-cbce5c450b01,1612224000000,
270336,2021-02-21 17:47:24.599,2021-02-20 23:00:08.954,RHeBeWmk3Z,com.sec.android.app.shealth,3fdbb27d-15ff-79d3-fb27-2f51707bac94,1613865600000,
335873,2021-02-13 17:36:57.380,2021-02-12 23:00:09.874,RHeBeWmk3Z,com.sec.android.app.shealth,0f6e2452-626e-c242-4f0a-e42140cc9e95,1613174400000,
1584128,2021-02-11 19:55:49.276,2021-02-10 23:00:03.594,RHeBeWmk3Z,com.sec.android.app.shealth,f765ca54-6ff8-2292-b0c3-90474ca13339,1613001600000,
2113537,2020-12-28 20:27:06.346,2020-12-27 23:00:02.828,RHeBeWmk3Z,com.sec.android.app.shealth,6845ad73-1687-c2b8-1f23-234f1af951a5,1609113600000,
2114560,2021-02-16 20:17:43.266,2021-02-15 23:00:08.013,RHeBeWmk3Z,com.sec.android.app.shealth,ffdc4c98-169d-872e-a64e-64920e2f8262,1613433600000,
1181696,2021-02-22 19:18:20.344,2021-02-21 23:00:07.026,RHeBeWmk3Z,com.sec.android.app.shealth,c714681f-816e-e72f-139c-4a0563f9a761,1613952000000,
12653056,2020-12-15 22:13:48.307,2020-12-14 23:00:03.817,RHeBeWmk3Z,com.sec.android.app.shealth,4cfbf1fc-313c-56eb-0db3-96e35d9b1c07,1607990400000,
1214464,2021-01-11 19:21:20.259,2021-01-10 23:00:05.949,RHeBeWmk3Z,com.sec.android.app.shealth,c03ee5a0-23bb-bc5f-3ecd-d1930bf2373b,1610323200000,
4194304,2020-11-02 20:56:40.277,2020-11-02 06:22:15.984,RHeBeWmk3Z,com.sec.android.app.shealth,fd190a77-a77d-38b5-ae57-d5f27428a05f,1604275200000,
1,2020-12-05 23:11:19.276,2020-12-05 23:00:02.730,RHeBeWmk3Z,com.sec.android.app.shealth,c5c4c8b1-9aea-e7f9-5cd3-3edc363430e7,1607212800000,
13633536,2021-02-25 22:49:28.256,2021-02-24 23:00:05.026,RHeBeWmk3Z,com.sec.android.app.shealth,fe092c5c-a4a6-de9c-b8ab-a125bffeaa91,1614211200000,
1572864,2020-12-17 19:49:18.253,2020-12-16 23:00:14.778,RHeBeWmk3Z,com.sec.android.app.shealth,7868e6b3-6100-23b5-b6c3-9cc758c50335,1608163200000,
13107200,2021-01-28 22:55:10.273,2021-01-27 23:08:10.932,RHeBeWmk3Z,com.sec.android.app.shealth,e4cc8872-6135-15d4-51e1-e5201b9252c8,1611792000000,
2107392,2020-12-20 20:51:42.220,2020-12-19 23:00:04.893,RHeBeWmk3Z,com.sec.android.app.shealth,b26ae0e1-09a9-70ea-165a-c3d2de070f3a,1608422400000,
0,2020-11-19 22:00:26.889,2020-11-19 22:00:26.889,RHeBeWmk3Z,com.sec.android.app.shealth,1e06e8b7-c7db-da60-77e9-9b4a8e567da1,1605830400000,
4194304,2021-02-28 20:35:01.293,2021-02-28 14:18:19.679,RHeBeWmk3Z,com.sec.android.app.shealth,fa15ec0a-8a2b-c5f8-55ce-317bea00ea4b,1614470400000,
4263936,2020-11-06 20:26:07.262,2020-11-05 22:00:13.950,RHeBeWmk3Z,com.sec.android.app.shealth,bdb143fc-0e17-9b1e-405e-2b03bf865db7,1604620800000,
828416,2021-03-05 17:20:10.297,2021-03-04 22:00:06.733,RHeBeWmk3Z,com.sec.android.app.shealth,d857a76b-720c-b9dc-1d73-5643cfef5b5f,1614902400000,
12583936,2020-11-12 21:03:43.311,2020-11-11 22:00:05.800,RHeBeWmk3Z,com.sec.android.app.shealth,32851026-9c0f-1f68-a4c3-3eb03565fb60,1605139200000,
59393,2021-03-11 13:28:36.236,2021-03-10 22:00:04.000,RHeBeWmk3Z,com.sec.android.app.shealth,1f774f28-3c49-d906-1e8c-ee1cbf234be9,1615420800000,
9569792,2021-01-08 22:32:29.281,2021-01-07 23:00:04.115,RHeBeWmk3Z,com.sec.android.app.shealth,d79d85c3-57fd-a7eb-ee23-427571efb992,1610064000000,
5033984,2021-03-17 20:40:30.278,2021-03-16 22:00:06.792,RHeBeWmk3Z,com.sec.android.app.shealth,0931b9da-efb2-db8c-9e78-a454373b0835,1615939200000,
1250304,2021-01-06 19:54:45.291,2021-01-05 23:00:03.220,RHeBeWmk3Z,com.sec.android.app.shealth,d81bd943-8091-27e1-7051-a6bb9bdd0d2c,1609891200000,
7382016,2021-03-23 20:42:03.289,2021-03-22 22:00:05.886,RHeBeWmk3Z,com.sec.android.app.shealth,6b202b20-66fe-c54c-bf66-f5a4ed23dd71,1616457600000,
10485760,2020-11-29 22:36:27.290,2020-11-28 23:00:02.683,RHeBeWmk3Z,com.sec.android.app.shealth,fd958529-ab9d-bbe5-1b2a-66515cf8a382,1606608000000,
14977024,2021-03-29 20:37:15.995,2021-03-28 21:00:05.208,RHeBeWmk3Z,com.sec.android.app.shealth,04a53ff7-54a9-5ea2-a097-3307fd5faab6,1616976000000,
8916992,2021-01-14 22:07:44.275,2021-01-13 23:00:06.811,RHeBeWmk3Z,com.sec.android.app.shealth,b932d589-4bac-edc0-6668-8a7e4fab419f,1610582400000,
32768,2020-12-12 14:46:50.286,2020-12-11 23:00:04.773,RHeBeWmk3Z,com.sec.android.app.shealth,096c5855-1051-2562-1f4b-ceed8bdf2626,1607731200000,
1081344,2021-02-14 19:12:09.745,2021-02-13 23:00:04.077,RHeBeWmk3Z,com.sec.android.app.shealth,5208862a-09ac-8e81-583b-17e457fcfb7e,1613260800000,
10529280,2020-12-16 22:38:41.329,2020-12-15 23:00:08.892,RHeBeWmk3Z,com.sec.android.app.shealth,bbd3eb25-6291-7a4d-3631-b915dea886a5,1608076800000,
16384,2020-12-11 13:07:31.304,2020-12-10 23:00:16.723,RHeBeWmk3Z,com.sec.android.app.shealth,d0b8838c-ab89-3107-0e81-5359ac6a6e6d,1607644800000,
9577472,2021-01-21 22:10:18.290,2021-01-20 23:00:15.240,RHeBeWmk3Z,com.sec.android.app.shealth,1eb8d79a-34cf-36f3-934a-19084268979a,1611187200000,
9019392,2021-02-27 22:41:25.094,2021-02-26 23:00:04.743,RHeBeWmk3Z,com.sec.android.app.shealth,d52fdc33-1238-cef5-c98b-f6096bb3015a,1614384000000,
13132288,2021-01-04 22:58:21.270,2021-01-03 23:00:05.766,RHeBeWmk3Z,com.sec.android.app.shealth,d43858a9-25b9-3c37-db93-3adce1a59a67,1609718400000,
9474048,2021-03-01 21:30:20.289,2021-02-28 22:00:03.925,RHeBeWmk3Z,com.sec.android.app.shealth,003febe8-41a1-0c0a-368d-d9ddb067768c,1614556800000,
532481,2021-03-07 17:19:54.255,2021-03-06 22:00:06.706,RHeBeWmk3Z,com.sec.android.app.shealth,1cbd5285-c681-2080-b43f-b31f6818b1b1,1615075200000,
2048,2021-03-13 09:34:50.319,2021-03-12 22:00:04.790,RHeBeWmk3Z,com.sec.android.app.shealth,e30950ed-b7a0-470e-1f22-71b0e9c5d40a,1615593600000,
2887681,2021-03-19 19:51:19.256,2021-03-18 22:00:04.090,RHeBeWmk3Z,com.sec.android.app.shealth,3d38d94b-dfa1-ce90-dd68-aa1fcf726bef,1616112000000,
