com.samsung.health.food_intake,6156001,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2020-12-28 23:00:00.000,1.0,,2020-12-31 14:49:18.661,2020-12-31 14:49:18.661,100002,MyFitnessPal Lunch,meal,220.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,e3434f59-7d13-4f00-8530-8f70b3f38635,6015b533-e971-463f-8145-121b93a4afff,
2021-01-07 23:00:00.000,1.0,,2021-01-10 19:41:27.434,2021-01-10 19:41:27.434,100001,MyFitnessPal Breakfast,meal,273.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,532c0fab-2d97-48c9-82be-979871ceb81d,6f41550f-360f-43e4-9d6d-f2d3cf75d3d0,
2021-01-01 17:00:00.000,1.0,,2021-01-03 12:25:23.437,2021-01-03 12:25:23.437,100003,MyFitnessPal Dinner,120001,420.0,UTC+0200,vC702BfhH0,,com.sec.android.app.shealth,f1205109-2e6f-4e1f-abcc-069f6df7f3dc,fe79ef70-1e1d-46aa-9191-8db0348e0457,
2020-12-27 23:00:00.000,1.0,,2020-12-30 21:09:41.240,2020-12-30 21:09:41.240,100002,MyFitnessPal Lunch,meal,767.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,531fb013-b785-486f-bd8c-d2af0aa5a4d2,e2e0d5c8-6aa2-4879-8510-87779f7164d7,
2020-12-26 23:00:00.000,1.0,,2020-12-29 20:28:39.292,2020-12-29 20:28:39.292,100002,MyFitnessPal Lunch,meal,230.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,0908378c-d1a8-42d6-a666-8cb83a0d807d,73e26ded-232e-4d95-86a9-f75c4f1f10c3,
2021-01-02 23:00:00.000,1.0,,2021-01-05 21:13:14.283,2021-01-05 21:13:14.283,100005,MyFitnessPal Snacks,meal,628.2,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,32f1c6fb-21e2-43cd-8ff6-23ebf932a553,e8cc7a54-9923-47fd-ae1d-e947dc8465bf,
2021-01-03 23:00:00.000,1.0,,2021-01-06 20:38:05.757,2021-01-06 20:38:05.757,100005,MyFitnessPal Snacks,meal,583.15,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,2209d00c-dd98-4028-be8c-a3eb1dfd4901,23244f2e-74ee-4949-ad0e-251a8109980e,
2021-01-08 23:00:00.000,1.0,,2021-01-10 19:41:27.644,2021-01-10 19:41:27.644,100002,MyFitnessPal Lunch,meal,1098.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,debf0c03-9079-42a0-bc54-a046e659f629,b7f6b559-7f3e-4452-9838-bb86ee28684c,
2021-01-01 23:00:00.000,1.0,,2021-01-04 09:00:02.082,2021-01-04 09:00:02.082,100005,MyFitnessPal Snacks,meal,667.02,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,4aaf3b87-3ca3-4a90-9139-72d32d5b80cc,171cf77a-29af-499d-ba86-1c87e188bcf2,
2020-12-22 23:00:00.000,1.0,,2020-12-24 21:01:54.832,2020-12-24 21:01:54.832,100003,MyFitnessPal Dinner,meal,682.89996,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,06aa7f2b-cf89-47df-88bc-5bd8fbd6ccbb,8f1dd56c-7078-45b8-b6dc-efbba8913950,
2020-12-30 23:00:00.000,1.0,,2021-01-02 22:20:25.130,2021-01-02 22:20:25.130,100001,MyFitnessPal Breakfast,meal,611.65,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,83081304-99f4-4d10-9ed8-d5df8c80efdb,81aa1a38-2118-47b2-8371-080334e370ee,
2021-01-04 23:00:00.000,1.0,,2021-01-07 18:28:28.986,2021-01-07 18:28:28.986,100001,MyFitnessPal Breakfast,meal,341.62,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,baa3967f-447d-4585-ab8a-dd508c10d09f,64802d56-c0c0-4dff-bbb2-a5f40d5e05b3,
2021-01-07 23:00:00.000,1.0,,2021-01-10 19:41:27.473,2021-01-10 19:41:27.473,100002,MyFitnessPal Lunch,meal,595.95,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,d3963440-f180-4961-88cd-60bf6af08feb,4f8231e2-d492-4faf-bb94-3ef5e3b2d21b,
2020-12-30 23:00:00.000,1.0,,2021-01-02 22:20:25.185,2021-01-02 22:20:25.185,100003,MyFitnessPal Dinner,meal,185.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,c6f8a2d8-0266-46f4-a59c-a9175c99cfe1,da48692d-3795-48b8-a9ce-5d9524d235fc,
2021-01-06 23:00:00.000,1.0,,2021-01-09 13:38:10.233,2021-01-09 13:38:10.233,100002,MyFitnessPal Lunch,meal,532.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,8aeb26f3-85e2-4b8b-a0a9-1c4eee6423fb,dfa770c9-e4d6-444d-a0a3-0d71dc293b73,
2020-12-29 23:00:00.000,1.0,,2021-01-01 21:11:28.336,2021-01-01 21:11:28.336,100001,MyFitnessPal Breakfast,meal,630.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,b23e2c57-0edd-4397-ba3f-50e74bca4ba1,956478cf-91b3-4d07-9d96-41117728f5a8,
2021-01-05 23:00:00.000,1.0,,2021-01-08 17:52:36.452,2021-01-08 17:52:36.452,100001,MyFitnessPal Breakfast,meal,207.51,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,4b915517-558c-4a7d-94ca-c85db53100a9,36754780-7bca-4841-ba1e-2c41f877be5a,
