com.samsung.health.floors_climbed,6156001,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-02-17 13:14:02.249,,2021-02-17 13:15:16.465,2021-02-17 13:15:16.419,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-17 13:14:37.253,bc2d91e3-54de-6709-5516-23b4008ced79,
2021-02-20 10:16:32.452,,2021-02-20 10:18:45.202,2021-02-20 10:17:24.456,4.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-20 10:18:36.134,8dc081ed-ead1-ebc5-34ce-70f4e41052b4,
2020-11-12 15:59:13.532,,2020-11-12 15:59:13.602,2020-11-12 15:59:13.536,3.0,UTC+0300,RHeBeWmk3Z,com.sec.android.app.shealth,2020-11-12 15:59:13.536,75864954-eeef-9530-2bc4-cfca4854e738,
2021-02-08 11:35:57.057,,2021-02-08 11:36:36.226,2021-02-08 11:36:36.190,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-08 11:36:11.059,b5755705-fd9e-290c-3e64-fecb90535e20,
2020-12-02 11:02:20.451,,2020-12-02 11:02:57.502,2020-12-02 11:02:33.458,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-02 11:02:57.476,39f4d970-9304-d8df-2ffc-71f2e2639dd2,
2020-12-16 08:37:44.584,,2020-12-16 08:38:25.627,2020-12-16 08:38:25.588,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-16 08:38:12.586,c870660c-fde8-58aa-66f5-b6a329b64232,
2021-01-31 10:34:20.512,,2021-01-31 10:38:07.539,2021-01-31 10:36:38.535,6.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-01-31 10:36:42.508,04cf8541-8752-97eb-9515-46a89464b90f,
2020-12-24 11:48:33.718,,2020-12-24 12:19:31.044,2020-12-24 12:19:30.977,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-24 11:48:53.720,481a1165-f026-e268-0a18-e91c382e17ec,
2021-01-03 13:35:03.003,,2021-01-03 13:36:04.206,2021-01-03 13:36:04.158,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-01-03 13:35:26.070,4995dfdf-0aad-dc21-09ed-007e14f0605f,
2021-02-23 08:41:04.042,,2021-02-23 08:42:44.308,2021-02-23 08:42:44.237,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-23 08:41:36.045,8fc69278-85ee-8f3c-93ec-b04edb5123dc,
2021-01-24 17:45:37.628,,2021-01-24 18:14:50.719,2021-01-24 18:14:50.688,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-01-24 17:45:58.630,0da5e334-b02b-acdf-c248-1e03071ceac1,
2021-02-10 11:24:13.625,,2021-02-10 11:35:50.658,2021-02-10 11:27:58.662,6.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-10 11:29:30.567,3bce8c05-ef63-f065-955c-3963d981d8c3,
2021-02-04 14:16:04.270,,2021-02-04 14:22:52.338,2021-02-04 14:22:52.307,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-04 14:16:25.272,4e30891f-86e3-101e-e1f8-4c62e69e52d4,
2020-12-19 12:59:41.918,,2020-12-19 13:02:44.018,2020-12-19 13:02:43.935,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-19 13:00:07.920,201a7ea6-791c-8920-d386-6705c28c1c57,
2021-02-16 10:50:26.632,,2021-02-16 10:51:24.766,2021-02-16 10:51:24.736,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-16 10:51:02.636,294d3549-f3ee-c1c3-8412-4e7024db33df,
2020-12-28 14:03:49.036,,2020-12-28 14:04:01.963,2020-12-28 14:03:59.046,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-28 14:04:01.920,71c5d985-cb6b-7440-8143-203c6c0127ab,
2021-01-05 12:58:23.836,,2021-01-05 12:59:17.051,2021-01-05 12:59:16.914,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-01-05 12:58:55.840,e6178dbc-817f-8a3a-298b-fe51eb75f1c2,
2021-02-26 10:01:10.959,,2021-02-26 10:01:59.184,2021-02-26 10:01:59.121,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 10:01:39.962,bdeb4198-988c-9c20-4c12-8e18f81102c3,
2020-12-13 09:58:54.493,,2020-12-13 10:01:21.157,2020-12-13 09:59:22.499,4.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-13 10:01:16.114,16ada20f-3646-dbc5-cbd4-8b21abd53ffc,
2020-11-09 15:18:41.320,,2020-11-09 15:20:59.554,2020-11-09 15:20:59.476,1.0,UTC+0300,RHeBeWmk3Z,com.sec.android.app.shealth,2020-11-09 15:19:02.322,ac462411-25cf-66da-02e6-0b79b1c60cc3,
2021-02-11 16:33:45.752,,2021-02-11 16:34:10.141,2021-02-11 16:34:07.804,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-11 16:34:09.099,af64e57a-9ac8-3190-a97d-a4eeddd04982,
2020-12-13 09:51:02.024,,2020-12-13 09:57:16.394,2020-12-13 09:51:22.030,16.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-13 09:57:15.372,48fca8d6-7d24-8133-d74c-12ab1c3e65e6,
2021-01-31 13:11:01.883,,2021-01-31 13:12:29.033,2021-01-31 13:12:28.995,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-01-31 13:11:29.885,231884fb-e505-0906-a25e-10ebbb643871,
2020-12-17 13:49:32.424,,2020-12-17 13:50:31.454,2020-12-17 13:50:03.460,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-17 13:50:29.429,6bca77c2-8d31-4fc6-378b-bd41da1b0c24,
2020-12-22 13:49:59.320,,2020-12-22 13:51:36.376,2020-12-22 13:51:36.333,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-22 13:50:31.322,1594f202-1048-2ac6-b69e-ede369d21650,
2020-11-03 06:34:21.081,,2020-11-03 06:49:01.170,2020-11-03 06:49:01.138,2.0,UTC+0300,RHeBeWmk3Z,com.sec.android.app.shealth,2020-11-03 06:34:57.084,7ee30270-b6ba-cacc-6e1e-35de54e55996,
2021-02-16 08:48:18.591,,2021-02-16 09:07:10.457,2021-02-16 09:07:10.415,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-16 08:48:30.593,609fbf8f-3b76-3687-6d07-193ae56b470e,
2021-02-20 10:43:07.975,,2021-02-20 10:45:26.497,2021-02-20 10:43:23.986,7.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-20 10:45:22.401,17c7b51c-2889-f540-5df7-29252024bc46,
2021-02-20 10:41:11.966,,2021-02-20 10:43:15.015,2021-02-20 10:43:14.972,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-20 10:41:35.968,62f79f17-e97e-3fe7-808f-a6a3dd46611f,
2021-02-20 14:27:30.312,,2021-02-20 14:28:06.423,2021-02-20 14:28:06.383,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-20 14:27:59.320,7f50aadd-af2d-1210-d945-6653340edd10,
2020-12-19 08:32:31.927,,2020-12-19 08:33:43.240,2020-12-19 08:33:43.165,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-19 08:33:01.941,f08ecbea-1d7a-61da-aa30-3a733130b87a,
2020-12-16 11:03:49.638,,2020-12-16 11:04:36.705,2020-12-16 11:04:36.644,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-16 11:04:23.641,4b17da27-cebd-eaba-387c-5f883fdbfefb,
2021-02-04 11:07:23.523,,2021-02-04 11:40:42.673,2021-02-04 11:40:42.643,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-04 11:07:50.525,96408479-25fd-a9e7-7ace-8a3fd6d3f22c,
2021-01-02 08:54:07.003,,2021-01-02 09:01:49.090,2021-01-02 09:01:49.012,4.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-01-02 08:55:46.007,76b7ddab-26e4-f859-7bc2-7342b4b52662,
2021-02-28 03:16:23.801,,2021-02-28 03:34:46.051,2021-02-28 03:34:45.986,1.0,UTC+0300,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-28 03:16:32.803,4314b4ed-e409-b5c8-124f-e14352321bd3,
2020-12-23 12:38:28.629,,2020-12-23 12:38:59.845,2020-12-23 12:38:43.650,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-23 12:38:59.823,fc8fb5aa-c476-1d3a-7b92-a267f6ec0894,
2021-01-30 10:01:31.050,,2021-01-30 10:07:28.251,2021-01-30 10:03:52.154,6.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-01-30 10:05:35.231,ad6a41c5-1e67-6b88-d2ae-3bb5e8f11b1c,
2021-02-28 00:18:20.337,,2021-02-28 00:23:35.619,2021-02-28 00:23:35.490,1.0,UTC+0300,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-28 00:18:42.339,c48dff8c-9860-7d75-14f7-d507aad5ea85,
2020-12-13 19:06:03.092,,2020-12-13 19:08:34.325,2020-12-13 19:08:34.276,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-13 19:06:27.094,623ebf2f-1b34-87cc-762a-cc9d43820024,
2020-11-08 10:30:27.461,,2020-11-08 10:32:18.622,2020-11-08 10:32:18.470,4.0,UTC+0300,RHeBeWmk3Z,com.sec.android.app.shealth,2020-11-08 10:31:45.469,cfdfe1fa-32fd-a709-4613-513f12aa82f2,
2020-12-22 13:11:58.951,,2020-12-22 13:14:47.976,2020-12-22 13:14:47.959,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-22 13:12:10.952,d5c05af0-0ae1-6d7d-874a-3163e6594447,
2021-02-02 11:02:49.621,,2021-02-02 11:03:41.769,2021-02-02 11:03:41.670,1.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-02 11:03:07.629,47fa0015-0718-c7c9-0729-8c17186d2b4c,
2021-02-16 06:31:18.971,,2021-02-16 06:32:51.353,2021-02-16 06:32:51.319,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-16 06:31:59.974,c3f2af5d-cbcd-1f3e-be75-89a53d8dfe16,
2020-12-03 16:10:14.831,,2020-12-03 16:11:11.296,2020-12-03 16:10:48.858,2.0,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2020-12-03 16:10:50.165,01859370-777d-564e-c373-3758e05c37d6,
