step_count,active_time,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
10735,14493123,11303709,2021-02-04 22:55:01.755,2021-02-03 23:00:00.416,60,8095309,400,40021.457,1402.5435,8cc7436c-48d6-4c99-bc35-c821bdba6462.extra_data.json,vC702BfhH0,10800,com.sec.android.app.shealth,3178614,17100000,8cc7436c-48d6-4c99-bc35-c821bdba6462,1612396800000,
6016,4775673,3545288,2021-01-23 23:31:43.345,2021-01-22 23:00:00.500,60,2154859,131,15893.391,496.45193,3f35140e-601c-485c-844d-12a356218a52.extra_data.json,vC702BfhH0,2800,com.sec.android.app.shealth,1227585,21000000,3f35140e-601c-485c-844d-12a356218a52,1611360000000,
6859,3076139,0,2021-02-24 23:02:32.645,2021-02-23 23:00:01.356,60,1841740,85,6879.6846,411.13037,5412a692-7f52-4d63-bb2c-d046c5165f1a.extra_data.json,vC702BfhH0,1867152,com.sec.android.app.shealth,1208987,16320000,5412a692-7f52-4d63-bb2c-d046c5165f1a,1614124800000,
4169,3036378,0,2020-11-18 21:15:03.228,2020-11-17 22:00:00.432,60,1292940,83,3129.2822,158.19147,13fddf9d-8fa1-4b9f-aedd-c17084fa58fc.extra_data.json,vC702BfhH0,13600,com.sec.android.app.shealth,3022778,32700000,13fddf9d-8fa1-4b9f-aedd-c17084fa58fc,1605657600000,
620,409802,0,2021-02-01 21:35:01.832,2021-01-31 23:00:20.890,60,21344,10,481.53345,24.063124,d1b2a7d9-81e1-463e-b2fb-0461435e0f78.extra_data.json,vC702BfhH0,5600,com.sec.android.app.shealth,404202,13980000,d1b2a7d9-81e1-463e-b2fb-0461435e0f78,1612137600000,
0,0,0,2020-11-07 08:33:38.153,2020-11-07 08:33:38.153,-1,0,0,0.0,0.0,a8f34256-2290-4653-a2e6-f00e8a8abc43.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,a8f34256-2290-4653-a2e6-f00e8a8abc43,1602547200000,
6683,3045405,0,2021-02-21 20:55:02.266,2021-02-20 23:00:01.984,60,1932730,83,6923.477,410.14786,171f80a3-8769-446f-96f9-05e2550114d4.extra_data.json,vC702BfhH0,1802356,com.sec.android.app.shealth,1243049,24240000,171f80a3-8769-446f-96f9-05e2550114d4,1613865600000,
442,291343,0,2021-02-03 22:55:02.314,2021-02-02 23:00:00.601,60,15339,6,348.25778,17.190512,6886dc90-dbb3-4ded-b244-8b7ec5078675.extra_data.json,vC702BfhH0,5200,com.sec.android.app.shealth,286143,15900000,6886dc90-dbb3-4ded-b244-8b7ec5078675,1612310400000,
7256,4738704,2025869,2020-11-07 08:33:40.609,2020-11-07 08:33:40.609,-1,2025869,0,4114.6567,615.88995,546c7fb2-b2fc-49be-bd1a-3d7c70133e09.extra_data.json,vC702BfhH0,10000,com.sec.android.app.shealth,2702835,14160000,546c7fb2-b2fc-49be-bd1a-3d7c70133e09,1604448000000,
7363,3475191,0,2020-12-21 22:51:14.427,2020-12-20 23:00:00.997,60,1736889,95,2342.6807,383.01254,6151b38b-c60f-47a0-b5f1-94502196b093.extra_data.json,vC702BfhH0,1750689,com.sec.android.app.shealth,1724502,23760000,6151b38b-c60f-47a0-b5f1-94502196b093,1608508800000,
2034,1348905,0,2020-11-16 05:25:20.465,2020-11-14 22:00:02.276,60,60000,36,1720.0065,87.16037,06bf1960-66bc-4640-8717-c97cbbd85a00.extra_data.json,vC702BfhH0,11600,com.sec.android.app.shealth,1337305,35640000,06bf1960-66bc-4640-8717-c97cbbd85a00,1605398400000,
281,187427,0,2020-11-21 21:39:37.647,2020-11-20 22:00:00.939,60,25346,5,208.3352,10.05983,6da4f599-715e-4018-bd9a-675ac3678060.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,187427,32820000,6da4f599-715e-4018-bd9a-675ac3678060,1605916800000,
3592,6003661,5403700,2021-01-08 22:55:03.862,2021-01-07 23:00:00.723,60,5403700,165,4428.581,471.0086,e5eeb95e-997e-4579-89ed-99e7fb831fe0.extra_data.json,vC702BfhH0,2335,com.sec.android.app.shealth,597626,16440000,e5eeb95e-997e-4579-89ed-99e7fb831fe0,1610064000000,
606,404202,0,2020-11-27 18:42:54.454,2020-11-26 22:00:00.562,60,44689,10,458.0171,21.478638,9a28710a-6b86-4d9d-9912-3e5d55e838a8.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,404202,32160000,9a28710a-6b86-4d9d-9912-3e5d55e838a8,1606435200000,
6974,4827575,3206610,2021-01-16 21:33:46.037,2021-01-15 23:00:00.429,60,2257060,131,14894.468,435.61676,42a42181-8bfe-4667-91e3-cdc02ca6a1a2.extra_data.json,vC702BfhH0,20800,com.sec.android.app.shealth,1600165,24180000,42a42181-8bfe-4667-91e3-cdc02ca6a1a2,1610755200000,
6586,3029835,0,2021-02-07 21:15:03.741,2021-02-06 23:00:00.890,60,1721109,81,6941.5034,406.90378,36fdde44-0311-48c3-9256-4f92a677daef.extra_data.json,vC702BfhH0,1730821,com.sec.android.app.shealth,1299014,21780000,36fdde44-0311-48c3-9256-4f92a677daef,1612656000000,
0,0,0,2020-11-07 08:33:39.193,2020-11-07 08:33:39.193,-1,0,0,0.0,0.0,75f53fb6-cff2-4fe2-a8b3-e94b44f51c51.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,75f53fb6-cff2-4fe2-a8b3-e94b44f51c51,1603065600000,
11478,13749200,11915800,2020-12-23 22:52:55.646,2020-12-18 23:14:53.937,60,8571330,380,2223.5742,1906.735,08da24d9-6d4c-4e16-9667-dea785d4e5f4.extra_data.json,vC702BfhH0,9600,com.sec.android.app.shealth,1823800,14160000,08da24d9-6d4c-4e16-9667-dea785d4e5f4,1608336000000,
0,0,0,2020-11-07 08:33:39.478,2020-11-07 08:33:39.478,-1,0,0,0.0,0.0,1d9b234c-828b-4876-9313-599fdb955c45.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,1d9b234c-828b-4876-9313-599fdb955c45,1603152000000,
8817,5075928,1625400,2020-12-10 23:00:58.995,2020-12-09 23:00:00.580,60,2021450,140,10974.905,647.82465,aef6a2e5-1a1e-4d1f-b5b6-06f03d7f82e2.extra_data.json,vC702BfhH0,1883585,com.sec.android.app.shealth,1566943,21660000,aef6a2e5-1a1e-4d1f-b5b6-06f03d7f82e2,1607558400000,
587,390995,0,2021-02-14 22:39:35.277,2021-02-13 23:18:24.443,60,26680,10,453.56403,21.860518,d4e716fd-8374-4312-b441-866509a27764.extra_data.json,vC702BfhH0,800,com.sec.android.app.shealth,390195,22080000,d4e716fd-8374-4312-b441-866509a27764,1613260800000,
0,0,0,2020-11-07 08:33:40.136,2020-11-07 08:33:40.136,-1,0,0,0.0,0.0,99e67a91-d360-458a-9612-00a2535bca03.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,99e67a91-d360-458a-9612-00a2535bca03,1603756800000,
9540,5486380,1317410,2020-12-01 22:58:19.464,2020-11-30 23:00:00.432,60,2000960,151,12638.121,748.4071,e5d9e43b-9db9-4a1f-97ec-48e0b7146a0c.extra_data.json,vC702BfhH0,1983476,com.sec.android.app.shealth,2185494,16440000,e5d9e43b-9db9-4a1f-97ec-48e0b7146a0c,1606780800000,
12940,9061090,0,2020-11-22 20:48:54.335,2020-11-21 22:00:00.708,60,1870565,250,9498.622,513.58777,19afcddc-8372-47c4-8cf8-d47d4f368089.extra_data.json,vC702BfhH0,5200,com.sec.android.app.shealth,9055890,36240000,19afcddc-8372-47c4-8cf8-d47d4f368089,1606003200000,
10895,7345257,0,2020-11-07 08:33:40.687,2020-11-07 08:33:40.687,-1,2108564,0,8123.3423,435.71985,5a32e292-d79e-4154-8e64-fe18e0300809.extra_data.json,vC702BfhH0,25600,com.sec.android.app.shealth,7319657,15720000,5a32e292-d79e-4154-8e64-fe18e0300809,1604534400000,
25724,15330858,8258010,2021-02-10 20:24:17.336,2021-02-09 23:00:00.783,60,8258010,423,18329.068,1384.5562,b1d9ed8e-9122-4386-b3ba-30276f8e369c.extra_data.json,vC702BfhH0,7247,com.sec.android.app.shealth,7065601,14760000,b1d9ed8e-9122-4386-b3ba-30276f8e369c,1612915200000,
0,0,0,2020-11-07 08:33:38.079,2020-11-07 08:33:38.079,-1,0,0,0.0,0.0,7ea28b42-a377-42df-b8c3-983f4030f747.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,7ea28b42-a377-42df-b8c3-983f4030f747,1602460800000,
6676,6100836,5603374,2020-12-05 23:18:21.765,2020-12-04 23:00:00.748,60,4963210,168,15414.282,665.095,11c3a9e0-3978-49f5-acc8-4133707cfddb.extra_data.json,vC702BfhH0,2800,com.sec.android.app.shealth,494662,19620000,11c3a9e0-3978-49f5-acc8-4133707cfddb,1607126400000,
7182,5389414,3406029,2020-11-30 22:35:02.169,2020-11-29 23:00:00.591,60,1515119,148,15785.844,543.97705,46dfc201-097a-4d92-bb6c-186f734a023e.extra_data.json,vC702BfhH0,17155,com.sec.android.app.shealth,1966230,14520000,46dfc201-097a-4d92-bb6c-186f734a023e,1606694400000,
5801,3677289,0,2020-11-23 21:35:01.792,2020-11-22 22:00:00.834,60,1231801,101,4375.3096,219.03981,b1969a78-66c6-4876-89cb-2f78dcbb635c.extra_data.json,vC702BfhH0,8800,com.sec.android.app.shealth,3668489,32220000,b1969a78-66c6-4876-89cb-2f78dcbb635c,1606089600000,
6522,2985120,0,2021-02-09 15:10:14.664,2021-01-12 23:00:00.548,60,1722220,81,6984.4463,383.18445,47e67724-7dd2-4ffc-8029-078b2c0ac2d5.extra_data.json,vC702BfhH0,1751082,com.sec.android.app.shealth,1234038,14520000,47e67724-7dd2-4ffc-8029-078b2c0ac2d5,1610496000000,
7606,3693745,0,2021-02-11 22:35:06.883,2021-02-10 23:00:00.898,60,1447000,101,7692.328,449.89166,f0b3e443-9747-4c63-b225-2bf7ac33d190.extra_data.json,vC702BfhH0,1461613,com.sec.android.app.shealth,2232132,15180000,f0b3e443-9747-4c63-b225-2bf7ac33d190,1613001600000,
