step_count,active_time,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
4894,3107823,0,2021-02-27 22:05:34.264,2021-02-26 23:00:01.471,60,360000,85,3900.6523,197.27873,5d243fb2-2bbf-4ad2-a30c-928886a7c00b.extra_data.json,vC702BfhH0,14000,com.sec.android.app.shealth,3093823,12180000,5d243fb2-2bbf-4ad2-a30c-928886a7c00b,1614384000000,
6434,5415176,3994930,2021-02-20 21:35:06.288,2021-02-19 23:00:02.479,60,3991410,148,12625.839,656.664,2ce58329-33ba-4973-b1e8-0a3cc239ccd6.extra_data.json,vC702BfhH0,16400,com.sec.android.app.shealth,1403846,25380000,2ce58329-33ba-4973-b1e8-0a3cc239ccd6,1613779200000,
77,51359,0,2020-11-25 17:50:01.503,2020-11-24 22:00:00.583,60,23345,0,57.950195,2.724121,ce238435-5a02-4cb9-b7a2-058fc3fd7ebb.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,51359,35940000,ce238435-5a02-4cb9-b7a2-058fc3fd7ebb,1606262400000,
12639,4706192,0,2021-01-09 22:47:02.327,2021-01-08 23:00:00.598,60,3731000,130,12247.597,1048.6216,ff2fff36-51c3-4962-ad89-dfeadf686ec8.extra_data.json,vC702BfhH0,3605575,com.sec.android.app.shealth,1100617,23040000,ff2fff36-51c3-4962-ad89-dfeadf686ec8,1610150400000,
11821,5372424,1177459,2020-12-02 22:55:01.851,2020-12-01 23:00:01.700,60,1974659,148,12784.559,639.19293,7b6f1ba2-0da6-4472-a3c5-1d1e131f79bd.extra_data.json,vC702BfhH0,2317982,com.sec.android.app.shealth,1876983,7380000,7b6f1ba2-0da6-4472-a3c5-1d1e131f79bd,1606867200000,
1890,1153925,0,2020-11-19 18:24:40.113,2020-11-18 22:00:01.756,60,300000,30,1475.4673,69.00115,56b1d92d-c2c3-4f2c-bbfd-d40b33148b17.extra_data.json,vC702BfhH0,23600,com.sec.android.app.shealth,1130325,30420000,56b1d92d-c2c3-4f2c-bbfd-d40b33148b17,1605744000000,
6863,3121468,0,2021-02-09 22:48:24.643,2021-02-08 23:00:00.801,60,1908740,85,6845.3955,437.75296,2bcdaea7-071c-4b64-86ec-2679f26eb3ba.extra_data.json,vC702BfhH0,1855410,com.sec.android.app.shealth,1266058,19020000,2bcdaea7-071c-4b64-86ec-2679f26eb3ba,1612828800000,
691,451552,0,2021-01-28 23:19:28.611,2021-01-27 23:00:01.126,60,24679,11,555.9321,29.21506,19408d6c-9be2-4fd3-ae48-d8bdf41739c7.extra_data.json,vC702BfhH0,14000,com.sec.android.app.shealth,437552,27120000,19408d6c-9be2-4fd3-ae48-d8bdf41739c7,1611792000000,
14018,9487061,855870,2020-12-25 22:55:03.978,2020-12-24 23:00:01.687,60,3257937,261,13283.008,603.173,58e4d8ad-3460-4804-97f1-08b6562ccc85.extra_data.json,vC702BfhH0,15962,com.sec.android.app.shealth,8615229,24240000,58e4d8ad-3460-4804-97f1-08b6562ccc85,1608854400000,
0,0,0,2020-11-07 08:33:40.084,2020-11-07 08:33:40.084,-1,0,0,0.0,0.0,2928b36e-dc47-48ad-b8ee-078d0a0108e5.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,2928b36e-dc47-48ad-b8ee-078d0a0108e5,1603670400000,
10040,5430249,1975890,2021-02-15 23:00:01.171,2021-02-14 23:00:01.490,60,1975890,148,12014.814,660.13776,daef0c0b-7b07-4f47-adfc-3d564983adc6.extra_data.json,vC702BfhH0,1896050,com.sec.android.app.shealth,1558309,28620000,daef0c0b-7b07-4f47-adfc-3d564983adc6,1613347200000,
13212,5737401,0,2020-12-23 22:53:05.973,2020-12-22 23:00:00.896,60,4010020,156,12463.096,838.9862,e0582bcb-1eb2-4e76-b386-2ce5499877d3.extra_data.json,vC702BfhH0,3956753,com.sec.android.app.shealth,1780648,15060000,e0582bcb-1eb2-4e76-b386-2ce5499877d3,1608681600000,
7557,3542509,0,2021-01-05 23:01:51.857,2021-01-04 23:00:01.637,60,1935260,96,7242.4497,500.10672,b507e957-dcf5-4e4f-855e-635522fa46e7.extra_data.json,vC702BfhH0,1954653,com.sec.android.app.shealth,1587856,12240000,b507e957-dcf5-4e4f-855e-635522fa46e7,1609804800000,
0,0,0,2020-11-07 08:33:40.269,2020-11-07 08:33:40.269,-1,0,0,0.0,0.0,8fd5231f-038d-4c9f-9274-46414d9b7643.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,8fd5231f-038d-4c9f-9274-46414d9b7643,1604016000000,
0,0,0,2020-11-07 08:33:39.848,2020-11-07 08:33:39.848,-1,0,0,0.0,0.0,8dd4b52c-667f-4bb2-b4cc-d72396fdefd2.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,8dd4b52c-667f-4bb2-b4cc-d72396fdefd2,1603411200000,
7067,3071062,0,2020-12-06 23:06:13.986,2020-12-05 23:00:01.613,60,2105100,85,6826.053,468.58832,7ff16114-b763-48f8-bb5c-a53529e63c83.extra_data.json,vC702BfhH0,2047321,com.sec.android.app.shealth,1023741,21120000,7ff16114-b763-48f8-bb5c-a53529e63c83,1607212800000,
7132,3041099,0,2021-01-01 23:03:10.294,2020-12-31 23:00:08.233,60,2356720,83,6956.981,470.1747,51fd0c8a-829a-4e4f-8561-7ce8985d5d86.extra_data.json,vC702BfhH0,2370970,com.sec.android.app.shealth,670129,23160000,51fd0c8a-829a-4e4f-8561-7ce8985d5d86,1609459200000,
8837,4956742,1590190,2020-12-22 21:59:28.958,2020-12-21 23:00:00.817,60,1739929,136,11307.531,637.72754,f95036cf-5372-49ba-b24e-928bad1bef48.extra_data.json,vC702BfhH0,1772306,com.sec.android.app.shealth,1594246,18300000,f95036cf-5372-49ba-b24e-928bad1bef48,1608595200000,
17221,11426515,0,2020-11-08 22:15:03.546,2020-11-07 22:00:00.511,60,3708938,316,12601.728,711.5101,83dd6dcf-778b-4a45-a306-6d57c5b83cfe.extra_data.json,vC702BfhH0,10896,com.sec.android.app.shealth,11415619,33780000,83dd6dcf-778b-4a45-a306-6d57c5b83cfe,1604793600000,
847,562012,0,2020-11-14 20:37:41.285,2020-11-13 22:00:00.352,60,32016,15,631.84875,30.326092,abdfad24-723d-4639-a83d-6f7a0d28643e.extra_data.json,vC702BfhH0,4400,com.sec.android.app.shealth,557612,35160000,abdfad24-723d-4639-a83d-6f7a0d28643e,1605312000000,
7398,4791779,0,2020-11-12 21:15:03.335,2020-11-11 22:00:01.423,60,2354244,131,5445.134,271.36258,7d948409-988a-4d71-b6b2-5e0c791a086c.extra_data.json,vC702BfhH0,16800,com.sec.android.app.shealth,4774979,28500000,7d948409-988a-4d71-b6b2-5e0c791a086c,1605139200000,
0,0,0,2020-11-07 08:33:39.958,2020-11-07 08:33:39.958,-1,0,0,0.0,0.0,8292fce7-2be9-42be-9d5d-ac4b7d91daa2.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,8292fce7-2be9-42be-9d5d-ac4b7d91daa2,1603497600000,
1023,675933,0,2021-01-29 12:20:51.313,2021-01-26 23:00:00.582,60,35216,18,804.1533,40.14047,44c0e657-cf06-467e-895e-3c892d8d0908.extra_data.json,vC702BfhH0,9600,com.sec.android.app.shealth,666333,17700000,44c0e657-cf06-467e-895e-3c892d8d0908,1611705600000,
10933,6955807,0,2020-11-16 21:27:20.641,2020-11-15 22:00:00.411,60,1539580,191,8352.502,422.5416,cc7a87b2-477b-41d7-adec-0170277ba332.extra_data.json,vC702BfhH0,15075,com.sec.android.app.shealth,6940732,25560000,cc7a87b2-477b-41d7-adec-0170277ba332,1605484800000,
7973,5107382,0,2020-11-28 22:35:04.198,2020-11-27 22:00:00.563,60,420000,140,5975.8105,290.58215,49999ab5-ce1b-4a9e-99ec-993d81ab151d.extra_data.json,vC702BfhH0,41600,com.sec.android.app.shealth,5065782,24900000,49999ab5-ce1b-4a9e-99ec-993d81ab151d,1606521600000,
674,447460,839,2021-01-10 22:35:02.841,2021-01-09 23:00:00.432,60,23345,11,522.1672,26.191452,e902b30d-8d33-4589-983e-0f28209339f7.extra_data.json,vC702BfhH0,4400,com.sec.android.app.shealth,442221,10440000,e902b30d-8d33-4589-983e-0f28209339f7,1610236800000,
645,427812,0,2021-01-18 22:55:02.513,2021-01-17 23:00:00.618,60,39886,11,500.06082,25.240236,50571a0f-b66d-4253-a9a0-0cf7c62a5dab.extra_data.json,vC702BfhH0,3600,com.sec.android.app.shealth,424212,26520000,50571a0f-b66d-4253-a9a0-0cf7c62a5dab,1610928000000,
6721,3078455,0,2021-02-05 22:20:34.022,2021-02-04 23:00:00.914,60,1841999,83,6761.435,413.0679,f86f9625-a35b-4bba-8c6a-0e1a77d87a7f.extra_data.json,vC702BfhH0,1846479,com.sec.android.app.shealth,1231976,23700000,f86f9625-a35b-4bba-8c6a-0e1a77d87a7f,1612483200000,
0,0,0,2020-11-07 08:33:39.659,2020-11-07 08:33:39.659,-1,0,0,0.0,0.0,cd0dad20-ae8e-4cb2-ad75-3664840df54d.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,cd0dad20-ae8e-4cb2-ad75-3664840df54d,1603238400000,
0,0,0,2020-11-07 08:33:37.987,2020-11-07 08:33:37.987,-1,0,0,0.0,0.0,2a93b932-5ced-43e2-a8eb-351796c725c1.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,2a93b932-5ced-43e2-a8eb-351796c725c1,1602374400000,
0,0,0,2020-11-07 08:33:40.306,2020-11-07 08:33:40.306,-1,0,0,0.0,0.0,9b927482-e6a2-470e-a465-107b1a005760.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,9b927482-e6a2-470e-a465-107b1a005760,1604102400000,
2807,2247189,1402799,2021-02-06 20:05:50.869,2021-02-05 23:00:00.724,60,1402799,61,5626.0854,187.63414,d991db20-2c7e-4661-955d-8abcc8b7b7bf.extra_data.json,vC702BfhH0,4000,com.sec.android.app.shealth,840390,19620000,d991db20-2c7e-4661-955d-8abcc8b7b7bf,1612569600000,
0,6261780,6261780,2021-02-27 22:05:30.134,2021-01-30 23:00:01.650,60,3744670,173,32214.9,756.39,e60543de-4154-48b1-9d00-74c4ca255c01.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,35516069,e60543de-4154-48b1-9d00-74c4ca255c01,1612051200000,
6408,4728687,3754839,2020-12-29 23:00:51.693,2020-12-28 23:00:01.914,60,2583189,130,12501.63,413.87506,1d463e29-5325-46b7-8897-55047010694a.extra_data.json,vC702BfhH0,11600,com.sec.android.app.shealth,962248,33180000,1d463e29-5325-46b7-8897-55047010694a,1609200000000,
0,0,0,2020-11-07 08:33:38.351,2020-11-07 08:33:38.351,-1,0,0,0.0,0.0,4a73c7b5-e69c-4ef9-ad79-f87c235d7f91.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,4a73c7b5-e69c-4ef9-ad79-f87c235d7f91,1602720000000,
6679,3107827,1580,2021-02-02 16:06:37.804,2021-01-05 23:00:03.688,60,1977170,83,7075.4478,416.8787,1c9c6a7b-c68d-420b-856b-463c49b4ea02.extra_data.json,vC702BfhH0,1672956,com.sec.android.app.shealth,1433291,29040000,1c9c6a7b-c68d-420b-856b-463c49b4ea02,1609891200000,
6427,5985238,4884630,2021-02-26 21:50:07.799,2021-02-25 23:00:00.811,60,4884630,165,14489.656,561.8606,868db760-0394-4451-8d87-006e53b5e03a.extra_data.json,vC702BfhH0,11714,com.sec.android.app.shealth,1088894,21960000,868db760-0394-4451-8d87-006e53b5e03a,1614297600000,
14061,12492753,3071320,2020-12-24 21:35:02.216,2020-12-23 23:00:00.431,60,3071320,345,24360.098,849.8486,7379ff62-434e-4dff-bb10-df9f61ee1974.extra_data.json,vC702BfhH0,2834111,com.sec.android.app.shealth,6587322,14760000,7379ff62-434e-4dff-bb10-df9f61ee1974,1608768000000,
0,0,0,2020-11-07 08:33:38.914,2020-11-07 08:33:38.914,-1,0,0,0.0,0.0,5f50f7df-6936-4256-b2a3-59163551d375.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,5f50f7df-6936-4256-b2a3-59163551d375,1602979200000,
7768,5232374,0,2020-11-11 21:56:36.491,2020-11-10 22:00:00.553,60,3750898,145,5745.4097,315.0801,74058d11-7520-4691-9fc0-78a5b00ac64a.extra_data.json,vC702BfhH0,6400,com.sec.android.app.shealth,5225974,10140000,74058d11-7520-4691-9fc0-78a5b00ac64a,1605052800000,
21482,15582736,750230,2020-12-26 22:35:03.051,2020-12-25 23:00:01.655,60,4229266,430,18453.229,909.2423,a2b37dc5-4d08-458d-b65c-83aff55bab5e.extra_data.json,vC702BfhH0,20123,com.sec.android.app.shealth,14812383,30180000,a2b37dc5-4d08-458d-b65c-83aff55bab5e,1608940800000,
1560,1010616,0,2021-01-03 22:55:04.149,2021-01-02 23:00:00.430,60,52693,26,1259.1415,69.768036,f0928baa-9c32-4e01-9c35-ce439884dabc.extra_data.json,vC702BfhH0,44800,com.sec.android.app.shealth,965816,13860000,f0928baa-9c32-4e01-9c35-ce439884dabc,1609632000000,
7248,3131131,0,2020-12-15 22:35:03.819,2020-12-14 23:00:00.759,60,1993110,85,6833.0,471.7005,157f6976-fc3b-40a9-ba68-70498c0b97e8.extra_data.json,vC702BfhH0,2013503,com.sec.android.app.shealth,1117628,28740000,157f6976-fc3b-40a9-ba68-70498c0b97e8,1607990400000,
292,194764,0,2020-11-20 19:59:27.459,2020-11-19 22:00:00.426,60,25346,5,218.0321,10.400642,36789dc7-9084-41d2-be7b-90b0a3696fdd.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,194764,34500000,36789dc7-9084-41d2-be7b-90b0a3696fdd,1605830400000,
11428,7464166,0,2021-02-16 22:15:03.511,2021-02-15 23:00:00.830,60,1442260,206,8513.695,462.20645,142f95df-9475-4de7-a799-a65d468db071.extra_data.json,vC702BfhH0,8000,com.sec.android.app.shealth,7456166,14820000,142f95df-9475-4de7-a799-a65d468db071,1613433600000,
7074,3374970,0,2021-02-17 23:09:49.426,2021-02-16 23:00:00.767,60,1890330,91,6948.8477,439.71112,fb27ebf1-1c23-481e-8935-8d1743ba4880.extra_data.json,vC702BfhH0,1909576,com.sec.android.app.shealth,1465394,16740000,fb27ebf1-1c23-481e-8935-8d1743ba4880,1613520000000,
6943,3180593,0,2021-02-12 22:05:28.838,2021-02-11 23:00:00.521,60,1875670,86,7035.289,403.95663,620985f7-cd64-4468-91e5-09ff0e8f4869.extra_data.json,vC702BfhH0,1882291,com.sec.android.app.shealth,1298302,15540000,620985f7-cd64-4468-91e5-09ff0e8f4869,1613088000000,
16698,10730230,0,2020-12-20 23:15:02.402,2020-12-19 23:00:00.559,60,3697396,296,11827.044,733.3781,ad0627bc-7811-4b16-aea6-aaf3e3746ff9.extra_data.json,vC702BfhH0,11200,com.sec.android.app.shealth,10719030,13920000,ad0627bc-7811-4b16-aea6-aaf3e3746ff9,1608422400000,
0,0,0,2020-11-07 08:33:38.525,2020-11-07 08:33:38.525,-1,0,0,0.0,0.0,ff6a1337-6a96-4467-9d2c-bfb52ed600b8.extra_data.json,vC702BfhH0,0,com.sec.android.app.shealth,0,-1,ff6a1337-6a96-4467-9d2c-bfb52ed600b8,1602806400000,
30995,25311180,11407219,2020-12-13 22:15:01.577,2020-12-12 23:00:00.367,60,10801569,701,69718.734,2307.1006,70b2ec9a-7c09-4d56-9ab7-e75e23cff776.extra_data.json,vC702BfhH0,41600,com.sec.android.app.shealth,13862361,21540000,70b2ec9a-7c09-4d56-9ab7-e75e23cff776,1607817600000,
7881,3377683,0,2021-02-23 12:32:09.528,2021-02-21 23:00:00.599,60,2061070,91,7120.6094,497.32904,8112dee8-2b01-4c48-8342-d8b6569b23f8.extra_data.json,vC702BfhH0,2076541,com.sec.android.app.shealth,1301142,24120000,8112dee8-2b01-4c48-8342-d8b6569b23f8,1613952000000,
9154,6085808,0,2020-11-10 21:27:44.178,2020-11-09 22:00:00.551,60,736919,166,6844.22,371.56705,29cdb599-0a33-4d75-8d5f-fdc57def8a48.extra_data.json,vC702BfhH0,30298,com.sec.android.app.shealth,6055510,27720000,29cdb599-0a33-4d75-8d5f-fdc57def8a48,1604966400000,
9499,4167545,0,2020-12-30 23:16:20.182,2020-12-29 23:00:01.962,60,2829990,113,8642.362,640.88605,7604b307-be32-4191-ba32-65807b181a29.extra_data.json,vC702BfhH0,2860657,com.sec.android.app.shealth,1306888,34020000,7604b307-be32-4191-ba32-65807b181a29,1609286400000,
6640,3020125,0,2021-01-25 21:35:04.262,2021-01-24 23:00:00.758,60,1765120,83,6820.513,406.62552,fee34133-6c72-4fae-a73e-21dc2c6a8998.extra_data.json,vC702BfhH0,1803566,com.sec.android.app.shealth,1216559,15960000,fee34133-6c72-4fae-a73e-21dc2c6a8998,1611532800000,
10038,4987541,0,2020-12-27 21:55:01.521,2020-12-26 23:00:00.736,60,2084930,136,9149.7295,553.19183,407fcc0b-a7ec-4ee0-aeb6-b5492dc9ab99.extra_data.json,vC702BfhH0,2033174,com.sec.android.app.shealth,2954367,31260000,407fcc0b-a7ec-4ee0-aeb6-b5492dc9ab99,1609027200000,
6045,3954266,1874890,2020-11-07 08:33:40.434,2020-11-07 08:33:40.434,-1,1874890,0,3300.85,554.82806,0f53f4b8-b12d-466c-96a3-b33f62e43bcc.extra_data.json,vC702BfhH0,8266,com.sec.android.app.shealth,2071110,30720000,0f53f4b8-b12d-466c-96a3-b33f62e43bcc,1604275200000,
