com.samsung.shealth.sleep_combined,6156001,1
original_efficiency,start_time,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,update_time,create_time,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,time_offset,extra_data,deviceuuid,sleep_cycle,efficiency,sleep_score,pkg_name,sleep_duration,end_time,datauuid
,2021-02-28 20:48:00.000,67.0,8,42,3,13,38,574,97,2,25,0,0,2021-03-01 06:51:01.420,2021-03-01 06:51:01.420,1,68.0,,14.0,,0,UTC+0300,,RHeBeWmk3Z,6,93.0,68,com.sec.android.app.shealth,574,2021-03-01 06:36:00.000,9cc9ff0c-26b7-4de9-80f3-2884eeea8652,
,2021-03-28 21:40:00.000,61.0,24,37,14,9,73,511,173,2,53,0,0,2021-03-29 06:45:32.941,2021-03-29 06:45:32.941,1,64.0,,33.0,,0,UTC+0400,,RHeBeWmk3Z,4,85.0,58,com.sec.android.app.shealth,511,2021-03-29 06:38:00.000,90d2e3b1-7976-4c7f-b59b-df9ba5582d5f,
,2021-03-06 23:20:00.000,85.0,0,0,5,5,41,474,50,0,18,0,0,2021-03-07 07:32:14.469,2021-03-07 07:32:14.469,1,47.0,,22.0,,0,UTC+0300,,RHeBeWmk3Z,4,91.0,54,com.sec.android.app.shealth,474,2021-03-07 07:30:00.000,9a9d8584-b977-4911-80f6-f39a7b70e949,
,2021-03-04 22:51:00.000,54.0,3,43,5,16,50,479,76,2,29,0,0,2021-03-05 07:01:16.545,2021-03-05 07:01:16.545,1,58.0,,23.0,,0,UTC+0300,,RHeBeWmk3Z,4,89.0,56,com.sec.android.app.shealth,479,2021-03-05 06:56:00.000,9d603c85-5755-4d90-8eae-86e02f1539fe,
,2021-03-07 23:54:00.000,56.0,0,0,8,9,58,415,78,2,41,0,0,2021-03-08 06:59:29.401,2021-03-08 06:59:29.401,1,42.0,,34.0,,0,UTC+0300,,RHeBeWmk3Z,3,86.0,43,com.sec.android.app.shealth,415,2021-03-08 06:51:00.000,1b2b6379-4e69-48ea-b8de-14cbc603c3fd,
,2021-03-22 21:59:00.000,59.0,3,3,18,11,71,485,271,1,40,0,0,2021-03-23 06:29:21.571,2021-03-23 06:29:21.571,1,50.0,,30.0,,0,UTC+0300,,RHeBeWmk3Z,2,85.0,48,com.sec.android.app.shealth,485,2021-03-23 06:10:00.000,2819ce71-0bab-412b-b80c-7ecf1b6ef2bb,
,2021-03-29 21:30:00.000,53.0,0,13,12,12,35,328,98,2,25,0,0,2021-03-30 06:23:24.753,2021-03-30 03:35:40.834,1,37.0,,31.0,,0,UTC+0400,,RHeBeWmk3Z,3,89.0,42,com.sec.android.app.shealth,328,2021-03-30 03:56:00.000,cdac45d5-ada4-4da7-b8da-10a7d355998e,
,2021-03-24 22:25:00.000,46.0,0,2,9,24,76,481,65,2,38,0,0,2021-03-25 06:54:41.489,2021-03-25 06:54:41.489,1,49.0,,38.0,,0,UTC+0300,,RHeBeWmk3Z,4,84.0,43,com.sec.android.app.shealth,481,2021-03-25 06:46:00.000,b9deff1d-4acf-4638-9539-b3e40d8c776e,
