com.samsung.shealth.exercise,6156001,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,0,,49.0,0,,,,4,0,,,0,5,0.0,,,,,680280,,,bc54d526-8703-8a63-531c-4a5dcb3c4c5b.com.samsung.health.exercise.location_data.json,2021-02-22 11:50:07.020,1001,,,,96.0,30001,,,107.0,2021-02-22 12:02:32.222,2021-02-22 12:02:32.222,,1.4805,,81.0,1138,861.7219,,49.0,,,,UTC+0200,RHeBeWmk3Z,,,bc54d526-8703-8a63-531c-4a5dcb3c4c5b.com.samsung.health.exercise.live_data.json,,1.3905455,com.sec.android.app.shealth,,,,2021-02-22 12:01:27.300,bc54d526-8703-8a63-531c-4a5dcb3c4c5b,
,0,,51.0,0,,,,4,0,,,0,1,0.0,,,,,634758,,,28436385-d782-0c8c-051b-74d2e19c363b.com.samsung.health.exercise.location_data.json,2021-01-05 12:49:39.884,1001,,,,110.0,30001,,,110.0,2021-01-05 13:01:14.944,2021-01-05 13:01:14.944,,1.5516666,,110.0,1086,829.858,,51.0,,,,UTC+0200,RHeBeWmk3Z,,,28436385-d782-0c8c-051b-74d2e19c363b.com.samsung.health.exercise.live_data.json,,1.4396143,com.sec.android.app.shealth,,,,2021-01-05 13:00:14.642,28436385-d782-0c8c-051b-74d2e19c363b,
,,,,1,,,,,,,,1,,,,,,,1447000,,,ed6a99b4-c00d-ceae-9517-e302a1c85d96.com.samsung.health.exercise.location_data.json,2021-02-11 13:12:47.000,1002,,,,,,,,,2021-02-28 13:47:41.775,2021-02-11 20:15:57.222,,4.8,162.0,,,5013.8,,307.0,170.0,,,UTC+0200,QImw1HpIs0,,,ed6a99b4-c00d-ceae-9517-e302a1c85d96.com.samsung.health.exercise.live_data.json,,3.4649618,com.sec.android.app.shealth,,,,2021-02-11 13:38:08.000,ed6a99b4-c00d-ceae-9517-e302a1c85d96,
96754393-7f55-4499-a7ca-edc4e2c436fc.live_data_internal.json,0,,300.77228,0,,,96754393-7f55-4499-a7ca-edc4e2c436fc.sensing_status.json,1,0,,,1,829,0.0,,,96754393-7f55-4499-a7ca-edc4e2c436fc.location_data_internal.json,96754393-7f55-4499-a7ca-edc4e2c436fc.additional_internal.json,1722220,,,96754393-7f55-4499-a7ca-edc4e2c436fc.com.samsung.health.exercise.location_data.json,2021-01-13 13:47:40.600,1002,,368.42636,8.428,148.0,30001,,364.76282,176.0,2021-01-13 15:02:17.391,2021-01-13 14:16:28.831,,3.439,153.77826,88.0,4414,5312.994,,300.713,165.783,11.75,47.75,UTC+0200,RHeBeWmk3Z,,,96754393-7f55-4499-a7ca-edc4e2c436fc.com.samsung.health.exercise.live_data.json,,3.0849683,com.sec.android.app.shealth,,,,2021-01-13 14:16:25.850,96754393-7f55-4499-a7ca-edc4e2c436fc,
,0,,42.0,0,,,,4,0,,,0,,0.0,,,,,772673,,,,2020-11-06 18:08:57.552,1001,,,,,30001,,,,2020-11-06 18:22:52.431,2020-11-06 18:22:52.431,,1.6111112,,,969,713.786,,42.0,,,,UTC+0300,RHeBeWmk3Z,,,748afc29-b3de-c943-630a-be1bb89a1a88.com.samsung.health.exercise.live_data.json,,1.247428,com.sec.android.app.shealth,,,,2020-11-06 18:21:50.225,748afc29-b3de-c943-630a-be1bb89a1a88,
1c4886f4-1f32-ba6e-7f95-efe6f18cf2f3.live_data_internal.json,0,,572.033,0,,,1c4886f4-1f32-ba6e-7f95-efe6f18cf2f3.sensing_status.json,1,0,,,1,3069,0.0,,,1c4886f4-1f32-ba6e-7f95-efe6f18cf2f3.location_data_internal.json,,4884630,,,1c4886f4-1f32-ba6e-7f95-efe6f18cf2f3.com.samsung.health.exercise.location_data.json,2021-02-26 07:32:07.530,11007,,496.83762,981.21,104.0,,,370.29132,142.0,2021-02-26 10:00:13.727,2021-02-26 10:00:05.708,,12.046,,56.0,,13216.567,,492.986,,1361.016,,UTC+0200,RHeBeWmk3Z,,,1c4886f4-1f32-ba6e-7f95-efe6f18cf2f3.com.samsung.health.exercise.live_data.json,,2.7057457,com.sec.android.app.shealth,,,,2021-02-26 10:00:04.460,1c4886f4-1f32-ba6e-7f95-efe6f18cf2f3,
e5c5eaaf-e727-cc71-c531-c6da74a078d1.live_data_internal.json,0,,444.54678,0,,,,1,0,,,1,1932,0.0,,,,,1932730,e5c5eaaf-e727-cc71-c531-c6da74a078d1.com.samsung.health.exercise.additional.json,,,2020-11-03 15:19:27.980,14001,,,,144.0,,,,167.0,2020-11-07 08:33:38.885,2020-11-03 15:55:34.576,,2.4900398,,105.0,,1075.0,,440.2,,,,UTC+0300,RHeBeWmk3Z,,,e5c5eaaf-e727-cc71-c531-c6da74a078d1.com.samsung.health.exercise.live_data.json,,0.55779827,com.sec.android.app.shealth,,,,2020-11-03 15:55:34.750,e5c5eaaf-e727-cc71-c531-c6da74a078d1,
77c2ce8e-e81f-0102-0478-0e0d080febe6.live_data_internal.json,0,,48.294052,0,,,77c2ce8e-e81f-0102-0478-0e0d080febe6.sensing_status.json,1,0,,,1,272,0.0,,,77c2ce8e-e81f-0102-0478-0e0d080febe6.location_data_internal.json,77c2ce8e-e81f-0102-0478-0e0d080febe6.additional_internal.json,276179,,,77c2ce8e-e81f-0102-0478-0e0d080febe6.com.samsung.health.exercise.location_data.json,2020-12-02 13:06:13.850,1002,,408.3246,216.554,147.0,30001,,385.29666,168.0,2020-12-02 13:18:57.558,2020-12-02 13:11:14.407,,2.573,155.33348,100.0,715,677.616,,47.812,166.321,0.0,,UTC+0200,RHeBeWmk3Z,,,77c2ce8e-e81f-0102-0478-0e0d080febe6.com.samsung.health.exercise.live_data.json,,2.4535303,com.sec.android.app.shealth,,,,2020-12-02 13:11:14.270,77c2ce8e-e81f-0102-0478-0e0d080febe6,
,0,,62.0,0,,,,4,0,,,0,6,0.0,,,,,950247,,,c6aff4b8-e07c-22c3-5789-228308d10f38.com.samsung.health.exercise.location_data.json,2020-12-25 11:09:01.157,1001,,,,93.0,30001,,,100.0,2020-12-25 11:25:52.203,2020-12-25 11:25:52.203,,1.398,,86.0,1518,1089.59,,62.0,,,,UTC+0200,RHeBeWmk3Z,,,c6aff4b8-e07c-22c3-5789-228308d10f38.com.samsung.health.exercise.live_data.json,,1.3147621,com.sec.android.app.shealth,,,,2020-12-25 11:24:51.404,c6aff4b8-e07c-22c3-5789-228308d10f38,
1344506a-16ee-5d6c-2fdb-f0bfff392e3c.live_data_internal.json,0,,179.50812,0,,,,1,0,,,1,1122,0.0,,,1344506a-16ee-5d6c-2fdb-f0bfff392e3c.location_data_internal.json,,2302580,,,1344506a-16ee-5d6c-2fdb-f0bfff392e3c.com.samsung.health.exercise.location_data.json,2021-02-04 16:02:37.720,11007,,536.83417,99.733,106.0,,,517.57513,151.0,2021-02-04 16:52:43.617,2021-02-04 16:41:02.744,,5.885,,70.0,,5168.573,,179.47,,107.051,,UTC+0200,RHeBeWmk3Z,,,1344506a-16ee-5d6c-2fdb-f0bfff392e3c.com.samsung.health.exercise.live_data.json,,2.2446878,com.sec.android.app.shealth,,,,2021-02-04 16:41:02.240,1344506a-16ee-5d6c-2fdb-f0bfff392e3c,
