com.samsung.shealth.food_frequent,6156001,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2021-02-28 13:46:13.471,2021-02-28 13:46:13.471,0.99,0.99,0.99,OD8XXfRrR9,com.sec.android.app.shealth,0.99,6e1b6296-088f-4b2d-9701-15802686a874,3c8cc4fc-55de-4baa-8cb3-369e0b9ae335,0.99,
0.95,2021-02-28 13:46:13.471,2021-02-28 13:46:13.471,0.95,0.95,0.95,OD8XXfRrR9,com.sec.android.app.shealth,0.95,e0767f77-6cce-4a85-96d3-064dfbbb28f1,e1bb20ca-e1f5-4655-82f4-97d58c019be1,0.95,
0.75,2021-02-28 13:46:13.472,2021-02-28 13:46:13.472,0.75,0.75,0.75,OD8XXfRrR9,com.sec.android.app.shealth,0.75,28c1a453-6dc9-423d-b237-eb1fefcc571c,e7049867-babd-45c2-9e34-fd40be34501f,0.75,
0.71,2021-02-28 13:46:13.472,2021-02-28 13:46:13.472,0.71,0.71,0.71,OD8XXfRrR9,com.sec.android.app.shealth,0.71,0ccc1d5b-2a67-4b88-bd7c-6965bcc2589d,0bee7ed5-9db4-4f94-a1fd-3e656b39ff83,0.71,
0.87,2021-02-28 13:46:13.471,2021-02-28 13:46:13.471,0.87,0.87,0.87,OD8XXfRrR9,com.sec.android.app.shealth,0.87,981f103b-ede0-4e7b-9bf5-c880da77272a,452292f8-89e5-4d40-a5d4-b5224a905108,0.87,
0.91,2021-02-28 13:46:13.471,2021-02-28 13:46:13.471,0.91,0.91,0.91,OD8XXfRrR9,com.sec.android.app.shealth,0.91,f03e0a56-e6fc-436f-a5c8-9ccb4441b840,2a38416f-2e48-4fd3-aa34-1ef678d17cb6,0.91,
0.83,2021-02-28 13:46:13.472,2021-02-28 13:46:13.472,0.83,0.83,0.83,OD8XXfRrR9,com.sec.android.app.shealth,0.83,59eead55-52be-453c-85dc-0aff3e627b84,511f5a19-58a4-46cf-a6b1-0658c7d96626,0.83,
0.63,2021-02-28 13:46:13.473,2021-02-28 13:46:13.473,0.63,0.63,0.63,OD8XXfRrR9,com.sec.android.app.shealth,0.63,87eaae5a-0a37-461b-9e15-b5232d2f54d1,addea92f-69a5-4d81-b933-76cfc861eed3,0.63,
0.0,2021-01-03 12:25:23.468,2021-01-03 12:25:23.468,0.0,1.0,0.0,vC702BfhH0,com.sec.android.app.shealth,0.0,6c55e561-292d-4273-a9fa-5f48f602273c,fe79ef70-1e1d-46aa-9191-8db0348e0457,0.0,
0.67,2021-02-28 13:46:13.473,2021-02-28 13:46:13.473,0.67,0.67,0.67,OD8XXfRrR9,com.sec.android.app.shealth,0.67,84e64386-1396-442b-9047-544653da2617,512ae8eb-7fa7-4736-884c-c1747fed725e,0.67,
0.79,2021-02-28 13:46:13.472,2021-02-28 13:46:13.472,0.79,0.79,0.79,OD8XXfRrR9,com.sec.android.app.shealth,0.79,91f08401-5ad5-471f-af2b-1d54180f064d,56985081-ee41-4f31-86ab-0c5301a5ff16,0.79,
